image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_entropy,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_10_entropy,cluster_11_n_points,cluster_11_avg_strength,cluster_12_n_points,cluster_12_avg_strength,cluster_11_entropy,cluster_12_entropy
0,Object Counting,How many cats are in the image?,2,http://images.cocodataset.org/val2017/000000039769.jpg,5,142,0.9988553978807362,-0.16347815096378326,,5,278.0,0.001940048695137025,5.0,0.0019034913908860993,17.0,0.0019431867556500976,63.0,0.0019277555507023016,23.0,0.001922431456355144,0.9819763438241363,0.9709505944546686,0.9437600120884534,0.9838564243707238,0.9705502589382581,,,,,,,,,,,,,,,,,,,,,,,,
1,Object Counting,How many people are visible?,4,http://images.cocodataset.org/val2017/000000334555.jpg,10,162,0.9986689867961603,-0.16581358015537262,,10,60.0,0.0019422754714303475,26.0,0.0019387969379497506,74.0,0.0019536870351730034,19.0,0.0019413655424993514,20.0,0.001942711241949037,0.9749528902939464,0.9609688542306613,0.9613830684308592,0.9720048748581784,0.9794359242226801,11.0,0.0019493329565790129,15.0,0.0019306976594485289,15.0,0.0019293567415016877,18.0,0.0019452549573153312,42.0,0.0019449164768396338,0.9456603046006401,0.9543063494363562,0.9664572819896989,0.9206250851407773,0.9628938701860881,,,,,,,,,
2,Object Counting,How many elephants are present?,3,http://images.cocodataset.org/val2017/000000025393.jpg,5,187,0.9992467491291004,-0.09236517548561096,,5,106.0,0.0018941416009564521,28.0,0.001882584067606574,29.0,0.0019240782506157875,34.0,0.0019029213357063483,26.0,0.0018697839987581615,0.9809057033613985,0.9953625898154655,0.9531054072865287,0.9856450207415314,0.9849660857232595,,,,,,,,,,,,,,,,,,,,,,,,
3,Object Identification,What animal is shown?,elephant,http://images.cocodataset.org/val2017/000000025393.jpg,7,184,0.9931691023324098,-0.9583725929260254,Human,7,43.0,0.0020733840401341275,15.0,0.0020402183784982734,164.0,0.002072376401804533,24.0,0.002082033771076952,18.0,0.002067188607531056,0.9671940664899409,0.982798115178801,0.9799521969975895,0.966465823449233,0.9182958340544896,17.0,0.0020768749127309544,17.0,0.002050648495736498,,,,,,,0.9603948809345499,0.9664022887695614,,,,,,,,,,,,
4,Object Identification,What vehicle is in the image?,bus,http://images.cocodataset.org/val2017/000000109798.jpg,6,265,0.9971315443294497,-1.2723608016967773,None,6,31.0,0.002154163391028081,30.0,0.0021657777950417198,28.0,0.002121182521254853,37.0,0.0020823251532227733,17.0,0.0022425155571081604,0.9536399169944102,0.9730533294331416,0.9722040294927505,0.9796580086088943,0.9975025463691152,16.0,0.0021466242188360805,,,,,,,,,0.949701216438411,,,,,,,,,,,,,
6,Object Identification,What is the main furniture item?,bed,http://images.cocodataset.org/val2017/000000356347.jpg,8,228,0.9974706322671402,-1.3739625215530396,Table,8,31.0,0.002227132654458613,29.0,0.002204920994737178,78.0,0.002223462028040471,11.0,0.002154929943519734,68.0,0.0021421211925977818,0.9417873215414798,0.9499958485944459,0.959656875918131,0.9940302114769565,0.9597962600694977,24.0,0.0021560544433693565,18.0,0.002144643953732965,8.0,0.0021035066689617365,,,,,0.9646872283675246,0.952437502577629,1.0,,,,,,,,,,,
7,Object Detection,What is on the desk?,laptop,http://images.cocodataset.org/val2017/000000231339.jpg,6,107,0.9972880105313322,-2.4415197372436523,B,6,237.0,0.0019896854856919295,16.0,0.0019668227193720828,118.0,0.0019971440338022273,64.0,0.0019833214432847792,4.0,0.001932995236057243,0.9805398212048139,0.9681390622295665,0.9734074319787254,0.9576549418746105,1.0,18.0,0.0019704706296863553,,,,,,,,,0.9625632797054146,,,,,,,,,,,,,
8,Object Detection,What electronic device is visible?,laptop,http://images.cocodataset.org/val2017/000000459467.jpg,2,281,0.9906325315229544,-2.3961148262023926,Camera,2,15.0,0.0025845063533544575,16.0,0.0028499965039398834,,,,,,,0.9147366491799204,0.8194483718728035,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Object Counting,How many umbrellas are visible?,1,http://images.cocodataset.org/val2017/000000285894.jpg,4,160,0.9988175852357806,-0.10061411559581757,,4,232.0,0.0019528926428070122,63.0,0.0019525944222153328,39.0,0.001951822755888129,17.0,0.0019265910729184077,,,0.9734963656880325,0.9773190183955983,0.9695839359610757,0.9856676426534905,,,,,,,,,,,,,,,,,,,,,,,,,
11,Object Identification,What appliance is in the kitchen?,refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,3,158,0.9989351946071447,-1.7665035724639893,Re,3,197.0,0.0020060635765611025,16.0,0.0020073079063538907,16.0,0.0019429603455749973,,,,,0.9811564348078184,0.9414280318460244,0.9954133073923868,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Object Identification,What sport equipment is shown?,tennis racket,http://images.cocodataset.org/val2017/000000018737.jpg,7,89,0.9955477332802284,-0.5178846120834351,Motor,7,15.0,0.002509901448339488,15.0,0.002523136172395975,15.0,0.002558450223275747,213.0,0.00256462500435424,17.0,0.0025745838853004984,0.9664572819896989,0.9446232142545791,0.944623214254579,0.9818340025412654,0.9605278493513334,13.0,0.0025385338234266506,64.0,0.002751746239063479,,,,,,,0.99473723787795,0.9468745827406847,,,,,,,,,,,,
13,Object Counting,How many vehicles are parked?,2,http://images.cocodataset.org/val2017/000000109798.jpg,6,245,0.9988079321364738,-0.11452944576740265,,6,64.0,0.0019453179850304739,27.0,0.0019594110313646993,19.0,0.0019502435511069374,66.0,0.0019406590962430127,16.0,0.0019431370139645447,0.9701606076842559,0.9115455847100358,0.90647263812994,0.9720879777861855,0.9965119062478288,17.0,0.0019353878322231144,,,,,,,,,0.925613407948596,,,,,,,,,,,,,
14,Object Identification,What is the person riding?,surfboard,http://images.cocodataset.org/val2017/000000361268.jpg,5,263,0.9976710356597407,-1.7870800495147705,Car,5,15.0,0.0020249906061364396,16.0,0.002037876902153196,32.0,0.002062770865518669,18.0,0.0020615598568366924,18.0,0.002066757976860748,0.944623214254579,0.9528195311147832,0.9742221387229816,0.952437502577629,0.9388201415867107,,,,,,,,,,,,,,,,,,,,,,,,
15,Color Recognition,What color is the umbrella?,red,http://images.cocodataset.org/val2017/000000285894.jpg,7,229,0.9941662086351365,-0.8105772733688354,Black,7,15.0,0.002329531839215224,18.0,0.0027909797715190855,15.0,0.0026192234476493286,19.0,0.0026242826236402062,54.0,0.00300097199906303,0.9859247724121322,0.9656336071428252,0.9877812438119247,0.9495113755878273,0.9917354582939811,18.0,0.00246072056038534,10.0,0.0026139787155932564,,,,,,,0.9532156861075463,1.0,,,,,,,,,,,,
16,Color Recognition,What color is the bus?,red,http://images.cocodataset.org/val2017/000000109798.jpg,2,243,0.9070598862716506,-1.0215301513671875,Brown,2,35.0,0.009416515185207364,16.0,0.016867491046433383,,,,,,,0.9734984015512516,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Attribute Recognition,Is the cat sitting or standing?,sitting,http://images.cocodataset.org/val2017/000000039769.jpg,3,249,0.9963086443033917,-1.0460854768753052,The,3,16.0,0.002815317416104765,28.0,0.002416354005244909,75.0,0.002428077555906838,,,,,1.0,0.9626529871527121,0.9746523588362995,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Attribute Recognition,Is the laptop open or closed?,open,http://images.cocodataset.org/val2017/000000231339.jpg,3,218,0.9753110819352363,-0.8576808571815491,Cl,3,15.0,0.005466108442863786,25.0,0.009685861732688306,21.0,0.009776285146709094,,,,,0.9473080736174851,0.8845112106481056,0.866777537176124,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Material Recognition,What material is the table made of?,wood,http://images.cocodataset.org/val2017/000000087038.jpg,11,221,0.9990454122465152,-0.7727022171020508,Wood,11,16.0,0.0020888220077888544,17.0,0.0019728210586006704,8.0,0.0019135994253443654,17.0,0.0019499822100791612,26.0,0.001997451486592289,0.9886994082884974,0.9605278493513334,0.9463946303571862,0.9554035229062984,0.9934151417289491,15.0,0.0019433829718089313,48.0,0.0019502039230398281,24.0,0.0019908807437922457,15.0,0.0019478883247309178,15.0,0.001985134934255563,0.982798115178801,0.9784733838808735,0.960225238422717,0.982798115178801,0.9877812438119247,8.0,0.001992911032597301,0.8112781244591328,,,,,,
21,Attribute Recognition,Is the dog standing or lying down?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,3,100,0.9976712807253763,-0.9240835309028625,Stand,3,85.0,0.0019380694911737759,55.0,0.0019357833257546801,274.0,0.0019330184462683045,,,,,0.9802218274435494,0.975333478565222,0.9837083580205982,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Size Comparison,"Which is larger, the refrigerator or the microwave?",refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,6,216,0.9972062869166056,-0.5223316550254822,Re,6,15.0,0.0022493624939018907,22.0,0.0022999559622769433,19.0,0.0022845267668225007,44.0,0.0023410801601611957,51.0,0.0023295123973602187,0.9147366491799203,0.9346262260259476,0.9224323529821663,0.9672925027083895,0.9624710901467811,16.0,0.0023660277376846227,,,,,,,,,0.985056822321508,,,,,,,,,,,,,
23,Color Recognition,What color are the traffic lights?,red,http://images.cocodataset.org/val2017/000000138819.jpg,6,208,0.988949071959887,-0.8728827238082886,Green,6,25.0,0.002726354439662694,16.0,0.002808566589209611,8.0,0.0024692424199641715,27.0,0.002630513611649962,33.0,0.002567064921457001,0.9359789823342757,0.949701216438411,0.985056822321508,0.9611812297793677,0.9578170943928985,20.0,0.002935595771870374,,,,,,,,,0.8427376486136673,,,,,,,,,,,,,
24,Attribute Recognition,Is the bed made or unmade?,unmade,http://images.cocodataset.org/val2017/000000356347.jpg,1,212,0.993386222489434,-0.9430472254753113,Un,1,209.0,0.002357238894752327,,,,,,,,,0.9813612824293104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Color Recognition,What color is the skateboard?,black,http://images.cocodataset.org/val2017/000000502136.jpg,2,328,0.9967461684079835,-1.3833051919937134,Black,2,15.0,0.0023369924060654664,15.0,0.002293076914447399,,,,,,,0.9602297178607612,0.8983958159908183,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Attribute Recognition,Is the door open or closed?,closed,http://images.cocodataset.org/val2017/000000322864.jpg,6,147,0.9835507043539673,-1.3346036672592163,Open,6,199.0,0.004173514974264349,15.0,0.002984244000208444,8.0,0.0035377873643183478,27.0,0.0035777236865861535,23.0,0.004045065404134355,0.9795575646717695,0.9473080736174853,0.954434002924965,0.9595229267574499,0.9359550701662825,20.0,0.004149300603753435,,,,,,,,,0.9630603734213402,,,,,,,,,,,,,
27,Spatial Reasoning,Is the laptop to the left or right of the mouse?,left,http://images.cocodataset.org/val2017/000000459467.jpg,4,261,0.998587276808456,-1.1595284938812256,Left,4,15.0,0.002005611112466837,57.0,0.0020107744171870626,43.0,0.0020077423530384464,20.0,0.0020381466368389833,,,0.9543063494363562,0.9652387599952905,0.9744095913657439,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,Spatial Reasoning,Where is the clock located?,on wall,http://images.cocodataset.org/val2017/000000481390.jpg,8,237,0.9954031110324655,-2.522271156311035,Basketball,8,15.0,0.0024178850286511056,44.0,0.0024596785551698037,7.0,0.0022421321352796087,49.0,0.002387009277738456,19.0,0.002383973677989484,0.9189900464321514,0.9684635967810301,0.863120568566631,0.9364034525193361,0.94841021822029,16.0,0.0023600572954031594,25.0,0.0024880669656387362,20.0,0.002462051913964725,,,,,0.9056390622295665,0.9845127868218252,0.9008047485295136,,,,,,,,,,,
29,Spatial Reasoning,Is the dog in front of or behind the person?,in front,http://images.cocodataset.org/val2017/000000017627.jpg,9,140,0.9871908590997152,-1.1247732639312744,Be,9,25.0,0.002368989880677001,68.0,0.002387216706281599,144.0,0.002344588020009657,105.0,0.0023573316084193694,47.0,0.002353652282331399,0.9607709666679638,0.9751785747019284,0.9801125245710308,0.9846795905823009,0.9622288134604585,33.0,0.002388353830918809,25.0,0.002372326923573692,31.0,0.0023881979989326457,14.0,0.002378179446856462,,,0.9962859311888502,0.9256573443248606,0.9676146868233984,0.9402859586706311,,,,,,,,,,
30,Relational Reasoning,What is the person holding?,phone,http://images.cocodataset.org/val2017/000000532855.jpg,6,265,0.9958443996088847,-1.1235735416412354,Sk,6,15.0,0.00215489764530955,40.0,0.002162016863890527,16.0,0.0021869394481083345,23.0,0.0023369659743953963,20.0,0.002212673604449947,0.9446232142545791,0.962957832235915,0.9414280318460244,0.9876197168461964,0.9927376486136672,15.0,0.0022099445325534724,,,,,,,,,0.9500685975366211,,,,,,,,,,,,,
31,Relational Reasoning,What is the person wearing on their head?,helmet,http://images.cocodataset.org/val2017/000000502136.jpg,4,346,0.990951903025016,-1.5945175886154175,Head,4,16.0,0.0023671688205782956,18.0,0.0025198410574548114,22.0,0.0023863644202009094,17.0,0.002470264286467367,,,1.0,0.8929352898779307,0.9961982334892152,0.9437600120884534,,,,,,,,,,,,,,,,,,,,,,,,,
