image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_entropy,cluster_5_entropy,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_10_n_points,cluster_10_avg_strength,cluster_6_entropy,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_entropy,cluster_11_n_points,cluster_11_avg_strength,cluster_12_n_points,cluster_12_avg_strength,cluster_11_entropy,cluster_12_entropy
0,Object Counting,How many cats are in the image?,2,http://images.cocodataset.org/val2017/000000039769.jpg,6,130,0.9989359443841326,-0.16347815096378326,,6,268.0,0.001930350963974314,18.0,0.0019297927589930512,34.0,0.0019118910607500252,11.0,0.0019278497813687687,22.0,0.0019136528348967633,15.0,0.0019296336730889017,0.9808361752812921,0.9206250851407773,0.989160613629328,0.9940302114769565,0.9651663602616731,0.8616157143988104,,,,,,,,,,,,,,,,,,,,,
1,Object Counting,How many people are visible?,4,http://images.cocodataset.org/val2017/000000334555.jpg,11,164,0.9987376181590888,-0.16581358015537262,,11,15.0,0.0019180072817257627,61.0,0.0019363650350932603,25.0,0.0019318695834639888,61.0,0.001949305156511049,18.0,0.0019331309084552706,19.0,0.0019336085186012464,0.982798115178801,0.9723181653554682,0.9549982147833365,0.9679024567394158,0.977342973473178,0.9892422967543257,43.0,0.0019237441104458103,19.0,0.0019443012353532062,16.0,0.0019400405604793973,6.0,0.0019152379142001145,16.0,0.0019311961240551017,0.9779863919711478,0.90647263812994,0.949701216438411,0.9182958340544896,0.9248008763572907,,,,,,
2,Object Counting,How many elephants are present?,3,http://images.cocodataset.org/val2017/000000025393.jpg,6,191,0.9992417055758022,-0.09236517548561096,,6,88.0,0.0018978181498183594,28.0,0.0018821374758854427,30.0,0.001923795637884518,16.0,0.0018907959378985457,44.0,0.0018994146261525026,16.0,0.0018694454516983824,0.979183839450169,0.9953625898154655,0.9561501793958973,0.9401204074720739,0.9880601072683041,0.9724056781360314,,,,,,,,,,,,,,,,,,,,,
3,Object Identification,What animal is shown?,elephant,http://images.cocodataset.org/val2017/000000025393.jpg,8,177,0.9932154446165941,-0.9583725929260254,Human,8,42.0,0.0020726804444560565,16.0,0.0020415570287627203,8.0,0.0020386181884284415,162.0,0.002071406316465155,24.0,0.002079705366469132,18.0,0.0020668940437045262,0.9717881499579439,0.9886085007312413,0.954434002924965,0.9808743493833927,0.966465823449233,0.9182958340544896,16.0,0.002073488757350272,16.0,0.0020463236715976517,,,,,,,0.9320201587042914,0.9681390622295665,,,,,,,,,
4,Object Identification,What vehicle is in the image?,bus,http://images.cocodataset.org/val2017/000000109798.jpg,11,158,0.9979001244856245,-1.2723608016967773,None,11,26.0,0.0020406416745384457,32.0,0.002045994507418878,15.0,0.0020531336180705006,20.0,0.0020274319717874687,15.0,0.0020038844407466827,27.0,0.0020330085424709442,0.9563486278165799,0.9833784782081256,0.9877812438119246,0.9393609946618473,0.9859247724121322,0.9457719141678558,35.0,0.0020843160045705875,30.0,0.002076246084271922,75.0,0.0020516447586594777,16.0,0.002123429961576017,16.0,0.0020841954733108042,0.9340393581377048,0.9400904310232591,0.9810106648817741,0.954434002924965,0.8950145145731531,,,,,,
6,Object Identification,What is the main furniture item?,bed,http://images.cocodataset.org/val2017/000000356347.jpg,7,234,0.9981861366911667,-1.3739625215530396,Table,7,23.0,0.002107895451135782,84.0,0.0021145436360368937,15.0,0.0020509615167508513,18.0,0.002109350841161186,17.0,0.0021241625499971864,75.0,0.002079294361620635,0.9321883810995897,0.9588087667139241,0.9161314485121343,0.9656336071428252,0.8846148739279867,0.9591996532682389,24.0,0.0020841919163605647,,,,,,,,,0.9646872283675246,,,,,,,,,,
7,Object Detection,What is on the desk?,laptop,http://images.cocodataset.org/val2017/000000231339.jpg,6,106,0.9972984552862957,-2.4415197372436523,B,6,240.0,0.0019887913218578296,16.0,0.001966306220895579,118.0,0.001996586524742909,65.0,0.001982591711857356,4.0,0.0019330519981594157,18.0,0.001969925217307507,0.9788674929108561,0.9681390622295665,0.9734074319787254,0.958904369228016,1.0,0.9625632797054146,,,,,,,,,,,,,,,,,,,,,
8,Object Detection,What electronic device is visible?,laptop,http://images.cocodataset.org/val2017/000000459467.jpg,2,286,0.9905626859864456,-2.3961148262023926,Camera,2,15.0,0.002625927630359403,16.0,0.002838672809085279,,,,,,,,,0.8616157143988104,0.8194483718728035,,,,,,,,,,,,,,,,,,,,,,,,,
10,Object Counting,How many umbrellas are visible?,1,http://images.cocodataset.org/val2017/000000285894.jpg,4,160,0.9988109138905329,-0.10061411559581757,,4,231.0,0.001955931886899071,63.0,0.0019556926367683856,38.0,0.0019498977137955356,18.0,0.0019286908099071093,,,,,0.9741200623454045,0.9807092214767963,0.9687652194267363,0.9955380299191111,,,,,,,,,,,,,,,,,,,,,,,
11,Object Identification,What appliance is in the kitchen?,refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,3,144,0.9990685340601242,-1.7665035724639893,Re,3,208.0,0.001987374207587577,23.0,0.00196501784927822,15.0,0.001920455029397109,,,,,,,0.9822583670090325,0.9656642397714295,0.9859247724121322,,,,,,,,,,,,,,,,,,,,,,,,
12,Object Identification,What sport equipment is shown?,tennis racket,http://images.cocodataset.org/val2017/000000018737.jpg,6,133,0.9969372532657174,-0.5178846120834351,Motor,6,41.0,0.0023317106363025474,17.0,0.002299336817209771,95.0,0.002345568467251126,43.0,0.002282275692285726,49.0,0.0026420846300744837,2.0,0.0020862633275632162,0.9789209765661898,0.9719977955078916,0.9833424119421834,0.9878802026673791,0.9358805318045176,0.0,,,,,,,,,,,,,,,,,,,,,
13,Object Counting,How many vehicles are parked?,2,http://images.cocodataset.org/val2017/000000109798.jpg,9,208,0.998902547177758,-0.11452944576740265,,9,16.0,0.0019167634780842152,63.0,0.0019336350527076028,27.0,0.0019487488191592922,20.0,0.0019440283326806092,52.0,0.0019330698853505745,11.0,0.0019121193111461222,0.9414280318460245,0.9714490237469202,0.9115455847100358,0.8911143594569008,0.9652469187221732,0.9431887805255736,11.0,0.0019354907670547294,17.0,0.0019282138586818765,20.0,0.0019175579588830514,,,,,0.9940302114769565,0.925613407948596,0.9596390821693784,,,,,,,,
