question_type,question,prefix,prompt,ground_truth,image_url
Object Counting,How many cats are in the image?,Count:,Count exactly how many cats are present. How many cats are in the image? Count:,2,https://images.cocodataset.org/val2017/000000039769.jpg
Object Counting,How many people are visible?,Count:,Count the total number of people. How many people are visible? Count:,4,https://images.cocodataset.org/val2017/000000334555.jpg
Object Counting,How many elephants are present?,Count:,Count the elephants in this image. How many elephants are present? Count:,3,https://images.cocodataset.org/val2017/000000025393.jpg
Object Identification,What animal is shown?,Animal:,Identify the animal species in one word. What animal is shown? Animal:,elephant,https://images.cocodataset.org/val2017/000000025393.jpg
Object Identification,What vehicle is in the image?,Vehicle:,Name the type of vehicle shown. What vehicle is in the image? Vehicle:,bus,https://images.cocodataset.org/val2017/000000109798.jpg
Object Identification,What food item is visible?,Food:,Identify the food in one word. What food item is visible? Food:,pizza,https://images.cocodataset.org/val2017/000000165547.jpg
Object Identification,What is the main furniture item?,Furniture:,Identify the primary furniture piece. What is the main furniture item? Furniture:,bed,https://images.cocodataset.org/val2017/000000356347.jpg
Object Detection,What is on the desk?,Object:,Identify the main object on the desk. What is on the desk? Object:,laptop,https://images.cocodataset.org/val2017/000000231339.jpg
Object Detection,What electronic device is visible?,Device:,Name the electronic device shown. What electronic device is visible? Device:,laptop,https://images.cocodataset.org/val2017/000000459467.jpg
Fine-grained Recognition,What type of dog is this?,Breed:,Identify the dog breed. What type of dog is this? Breed:,golden retriever,https://images.cocodataset.org/val2017/000000574769.jpg
Object Counting,How many umbrellas are visible?,Count:,Count all umbrellas in the scene. How many umbrellas are visible? Count:,1,https://images.cocodataset.org/val2017/000000285894.jpg
Object Identification,What appliance is in the kitchen?,Appliance:,Name the kitchen appliance shown. What appliance is in the kitchen? Appliance:,refrigerator,https://images.cocodataset.org/val2017/000000322844.jpg
Object Identification,What sport equipment is shown?,Equipment:,Identify the sports equipment. What sport equipment is shown? Equipment:,tennis racket,https://images.cocodataset.org/val2017/000000018737.jpg
Object Counting,How many vehicles are parked?,Count:,Count the number of vehicles. How many vehicles are parked? Count:,2,https://images.cocodataset.org/val2017/000000109798.jpg
Object Identification,What is the person riding?,Transport:,Identify the mode of transportation. What is the person riding? Transport:,surfboard,https://images.cocodataset.org/val2017/000000361268.jpg
Color Recognition,What color is the umbrella?,Color:,State the umbrella's color in one word. What color is the umbrella? Color:,red,https://images.cocodataset.org/val2017/000000285894.jpg
Color Recognition,What color is the bus?,Color:,Identify the bus color. What color is the bus? Color:,red,https://images.cocodataset.org/val2017/000000109798.jpg
Attribute Recognition,Is the cat sitting or standing?,Posture:,Describe the cat's posture in one word. Is the cat sitting or standing? Posture:,sitting,https://images.cocodataset.org/val2017/000000039769.jpg
Object State,Is the pizza whole or sliced?,State:,Describe the pizza's state. Is the pizza whole or sliced? State:,sliced,https://images.cocodataset.org/val2017/000000165547.jpg
Attribute Recognition,Is the laptop open or closed?,State:,Describe the laptop's state. Is the laptop open or closed? State:,open,https://images.cocodataset.org/val2017/000000231339.jpg
Material Recognition,What material is the table made of?,Material:,Identify the table's material. What material is the table made of? Material:,wood,https://images.cocodataset.org/val2017/000000087038.jpg
Attribute Recognition,Is the dog standing or lying down?,Posture:,Describe the dog's posture. Is the dog standing or lying down? Posture:,standing,https://images.cocodataset.org/val2017/000000017627.jpg
Size Comparison,"Which is larger, the refrigerator or the microwave?",Larger:,"Compare sizes and answer. Which is larger, the refrigerator or the microwave? Larger:",refrigerator,https://images.cocodataset.org/val2017/000000322844.jpg
Color Recognition,What color are the traffic lights?,Color:,Identify the traffic light color. What color are the traffic lights? Color:,red,https://images.cocodataset.org/val2017/000000138819.jpg
Attribute Recognition,Is the bed made or unmade?,State:,Describe the bed's state. Is the bed made or unmade? State:,unmade,https://images.cocodataset.org/val2017/000000356347.jpg
Color Recognition,What color is the skateboard?,Color:,State the skateboard's color. What color is the skateboard? Color:,black,https://images.cocodataset.org/val2017/000000502136.jpg
Attribute Recognition,Is the door open or closed?,State:,Describe the door's state. Is the door open or closed? State:,closed,https://images.cocodataset.org/val2017/000000322864.jpg
Spatial Reasoning,Is the laptop to the left or right of the mouse?,Position:,Determine the spatial relationship. Is the laptop to the left or right of the mouse? Position:,left,https://images.cocodataset.org/val2017/000000459467.jpg
Spatial Reasoning,Where is the clock located?,Location:,Describe the clock's position. Where is the clock located? Location:,on wall,https://images.cocodataset.org/val2017/000000481390.jpg
Spatial Reasoning,Is the dog in front of or behind the person?,Position:,Determine spatial relationship. Is the dog in front of or behind the person? Position:,in front,https://images.cocodataset.org/val2017/000000017627.jpg
