image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_0_entropy,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy
0,object identification,What is this photo taken looking through?,net,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,0,101,0.3672834475145772,-1.0078125,net,0,,,,,,,,,,,,,,,,,,,,,,,,
1,object identification,What is this man riding on?,skateboard,http://images.cocodataset.org/train2014/COCO_train2014_000000393227.jpg,0,113,0.46298334238781824,-0.10693359375,skate,0,,,,,,,,,,,,,,,,,,,,,,,,
2,object identification,What is this person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,0,74,0.4339695175016822,-0.1982421875,ski,0,,,,,,,,,,,,,,,,,,,,,,,,
3,object identification,What is this?,bear,http://images.cocodataset.org/train2014/COCO_train2014_000000137045.jpg,0,61,0.6063108413619789,-0.287109375,bear,0,,,,,,,,,,,,,,,,,,,,,,,,
4,object identification,What is this device?,refrigerator,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg,0,123,0.4144287986106393,-0.1611328125,refriger,0,,,,,,,,,,,,,,,,,,,,,,,,
5,object identification,What is this animal?,elephant,http://images.cocodataset.org/train2014/COCO_train2014_000000262204.jpg,1,110,0.40986547551623737,-0.111328125,elephant,1,16.0,0.18040948287328495,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,
6,object identification,What is this person wearing on head?,hat,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg,0,151,0.48572382342842685,-0.193359375,helmet,0,,,,,,,,,,,,,,,,,,,,,,,,
7,object identification,What is this man laying on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000471373.jpg,0,60,0.4426204308154317,-0.142578125,surf,0,,,,,,,,,,,,,,,,,,,,,,,,
8,object identification,What is this person holding?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000393428.jpg,0,104,0.3583090664265017,-0.1982421875,hot,0,,,,,,,,,,,,,,,,,,,,,,,,
9,object identification,What is this person standing on?,sand,http://images.cocodataset.org/train2014/COCO_train2014_000000474858.jpg,0,63,0.37424872459254205,-0.32421875,sand,0,,,,,,,,,,,,,,,,,,,,,,,,
10,object identification,What is this cake made with?,chocolate,http://images.cocodataset.org/train2014/COCO_train2014_000000393445.jpg,0,138,0.4371658914283117,-0.392578125,chocolate,0,,,,,,,,,,,,,,,,,,,,,,,,
11,object identification,What is this person doing?,snowboarding,http://images.cocodataset.org/train2014/COCO_train2014_000000524551.jpg,0,128,0.5549286072631872,-0.27734375,snow,0,,,,,,,,,,,,,,,,,,,,,,,,
12,other,What position is this man playing?,pitcher,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,0,39,0.3087051349292112,-0.1650390625,pit,0,,,,,,,,,,,,,,,,,,,,,,,,
13,other,What is the person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000262146.jpg,1,99,0.35711947500347946,-0.1337890625,ski,1,15.0,0.21789371206563402,0.7835807040488099,,,,,,,,,,,,,,,,,,,,,
14,other,What is in the person's hand?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,0,42,0.8612786184117777,-0.1201171875,fris,0,,,,,,,,,,,,,,,,,,,,,,,,
15,other,Is the dog looking at a tennis ball or frisbee?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,0,137,0.5034713625620849,-0.048095703125,fris,0,,,,,,,,,,,,,,,,,,,,,,,,
16,other,What is the white streak?,contrail,http://images.cocodataset.org/train2014/COCO_train2014_000000393221.jpg,0,97,0.34984241540411004,-1.421875,jet,0,,,,,,,,,,,,,,,,,,,,,,,,
17,other,What is the child doing?,brushing teeth,http://images.cocodataset.org/train2014/COCO_train2014_000000393223.jpg,0,129,0.35860715474536975,-0.1748046875,br,0,,,,,,,,,,,,,,,,,,,,,,,,
