image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_10_n_points,cluster_10_avg_strength,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_entropy,cluster_11_n_points,cluster_11_avg_strength,cluster_12_n_points,cluster_12_avg_strength,cluster_11_entropy,cluster_12_entropy
0,Object Counting,How many cats are in the image?,2,http://images.cocodataset.org/val2017/000000039769.jpg,7,126,0.9989712508274292,-0.16347815096378326,,7,248.0,0.0019252218862437368,19.0,0.0019276203761896666,35.0,0.0019050658508408085,7.0,0.0019031310319035978,29.0,0.001917281451836729,21.0,0.001921452161373555,17.0,0.0019155690594553118,0.9837106227640597,0.9119149038015315,0.9839852626584689,0.9852281360342515,0.9582057282079467,0.942853596811846,0.9519839065438831,,,,,,,,,,,,,,,,,,
1,Object Counting,How many people are visible?,4,http://images.cocodataset.org/val2017/000000334555.jpg,11,160,0.9987666863065375,-0.16581358015537262,,11,15.0,0.0019176909494689252,60.0,0.0019347496544859992,25.0,0.0019268116695188076,58.0,0.001943555991134679,18.0,0.0019288745340660177,19.0,0.0019286901121486157,45.0,0.0019243194252762407,0.982798115178801,0.9677752386055959,0.9549982147833365,0.9688089332306217,0.977342973473178,0.9892422967543257,0.9772939452796497,19.0,0.0019424865153537627,15.0,0.0019356466603151067,6.0,0.0019126384441545685,15.0,0.001925863877317919,0.90647263812994,0.9602297178607612,0.9182958340544896,0.8983958159908183,,,,,,
2,Object Counting,How many elephants are present?,3,http://images.cocodataset.org/val2017/000000025393.jpg,5,184,0.9992383327330971,-0.09236517548561096,,5,110.0,0.0018955832555505258,28.0,0.0018827492919518097,30.0,0.0019242528395762193,44.0,0.0019001077411528212,16.0,0.0018695416293111184,,,,,0.9781048575163641,0.9953625898154655,0.9561501793958973,0.9880601072683041,0.9724056781360314,,,,,,,,,,,,,,,,,,,,
3,Object Identification,What animal is shown?,elephant,http://images.cocodataset.org/val2017/000000025393.jpg,8,171,0.9932662439069403,-0.9583725929260254,Human,8,43.0,0.0020752222919792184,17.0,0.0020460397858843597,8.0,0.0020382510893141494,164.0,0.0020714573660155075,23.0,0.002078755778565257,28.0,0.0020477927895621467,15.0,0.0020652865772282022,0.9671940664899409,0.9771236998460401,0.954434002924965,0.982116443925537,0.9565831515652945,0.941620985872452,0.9500685975366211,15.0,0.002039651526788299,,,,,,,0.982798115178801,,,,,,,,,
4,Object Identification,What vehicle is in the image?,bus,http://images.cocodataset.org/val2017/000000109798.jpg,7,201,0.9981839968156614,-1.2723608016967773,None,7,82.0,0.002035860301783823,18.0,0.0020495568404072773,36.0,0.002043859327665378,20.0,0.002013952176723973,12.0,0.002033514788105204,34.0,0.002068167292461218,79.0,0.0020405399702927256,0.9697557692449291,0.9915323997298832,0.9383925936921877,0.9125361964776199,0.8734790278701756,0.9497666588388486,0.9893175621103185,,,,,,,,,,,,,,,,,,
6,Object Identification,What is the main furniture item?,bed,http://images.cocodataset.org/val2017/000000356347.jpg,8,234,0.998461608008217,-1.3739625215530396,Table,8,16.0,0.002047953357351897,21.0,0.0020476946095542093,18.0,0.00200519260433373,18.0,0.002080714464839931,29.0,0.0020728258356874506,11.0,0.002001882100678657,100.0,0.0020420424044859387,0.9755307720176266,0.9244658211275739,0.9736669121131954,0.9915323997298832,0.9882208131634409,0.9713067383178076,0.9789658896194678,27.0,0.0020882690863095713,,,,,,,0.9258471880200251,,,,,,,,,
7,Object Detection,What is on the desk?,laptop,http://images.cocodataset.org/val2017/000000231339.jpg,6,106,0.997302405324729,-2.4415197372436523,B,6,239.0,0.001988632602666629,16.0,0.001966222860983375,118.0,0.001996263311968047,65.0,0.001982501719426741,4.0,0.0019331495564120955,18.0,0.0019698969036079273,,,0.9791092535531073,0.9681390622295665,0.9734074319787254,0.958904369228016,1.0,0.9625632797054146,,,,,,,,,,,,,,,,,,,
8,Object Detection,What electronic device is visible?,laptop,http://images.cocodataset.org/val2017/000000459467.jpg,2,286,0.9905406374619288,-2.3961148262023926,Camera,2,15.0,0.002628199784200036,16.0,0.0028390978104311498,,,,,,,,,,,0.8616157143988104,0.8194483718728035,,,,,,,,,,,,,,,,,,,,,,,
10,Object Counting,How many umbrellas are visible?,1,http://images.cocodataset.org/val2017/000000285894.jpg,4,158,0.9988077701550739,-0.10061411559581757,,4,230.0,0.001957014279856572,63.0,0.0019576784650632644,37.0,0.0019508690903973982,17.0,0.0019300987755017493,,,,,,,0.9743949187692693,0.9807092214767963,0.9705934891531607,0.9856676426534905,,,,,,,,,,,,,,,,,,,,,
11,Object Identification,What appliance is in the kitchen?,refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,3,149,0.9991668911831748,-1.7665035724639893,Re,3,208.0,0.0019716682572745257,15.0,0.0019583832022702736,15.0,0.0019001401315323497,,,,,,,,,0.9809196335310008,0.9543063494363562,0.9859247724121322,,,,,,,,,,,,,,,,,,,,,,
12,Object Identification,What sport equipment is shown?,tennis racket,http://images.cocodataset.org/val2017/000000018737.jpg,6,162,0.9979152364432669,-0.5178846120834351,Motor,6,41.0,0.00220204755757178,15.0,0.0022149038705880334,19.0,0.0022328143333497363,36.0,0.002180207013078547,44.0,0.0022705359006670845,49.0,0.00246053994994338,,,0.9789209765661898,0.982798115178801,0.996352882445333,0.9894323423157605,0.9809883838222102,0.9358805318045176,,,,,,,,,,,,,,,,,,,
