image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_0_entropy,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy,cluster_8_entropy
0,object identification,What is this photo taken looking through?,net,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,0,99,0.36728347158344365,-1.0078125,net,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,object identification,What is this man riding on?,skateboard,http://images.cocodataset.org/train2014/COCO_train2014_000000393227.jpg,0,119,0.4629865382118154,-0.10693359375,skate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,object identification,What is this person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,0,74,0.43396917997832474,-0.1982421875,ski,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,object identification,What is this?,bear,http://images.cocodataset.org/train2014/COCO_train2014_000000137045.jpg,0,61,0.6063108413619789,-0.287109375,bear,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,object identification,What is this device?,refrigerator,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg,0,109,0.4144686387725365,-0.1611328125,refriger,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,object identification,What is this animal?,elephant,http://images.cocodataset.org/train2014/COCO_train2014_000000262204.jpg,0,74,0.4098699648331069,-0.111328125,elephant,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,object identification,What is this person wearing on head?,hat,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg,0,143,0.4857320321071646,-0.193359375,helmet,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,object identification,What is this man laying on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000471373.jpg,0,70,0.4426465822084592,-0.142578125,surf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,object identification,What is this person holding?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000393428.jpg,0,116,0.3583090686649545,-0.1982421875,hot,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,object identification,What is this person standing on?,sand,http://images.cocodataset.org/train2014/COCO_train2014_000000474858.jpg,1,69,0.37424891387670034,-0.32421875,sand,1,16.0,0.14318120538763446,0.8194483718728035,,,,,,,,,,,,,,,,,,,,,,,,
10,object identification,What is this cake made with?,chocolate,http://images.cocodataset.org/train2014/COCO_train2014_000000393445.jpg,0,138,0.43755478981627843,-0.392578125,chocolate,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,object identification,What is this person doing?,snowboarding,http://images.cocodataset.org/train2014/COCO_train2014_000000524551.jpg,0,132,0.5549226471967893,-0.27734375,snow,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,other,What position is this man playing?,pitcher,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,0,49,0.308705178917752,-0.1650390625,pit,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,other,What is the person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000262146.jpg,1,99,0.35712011994255555,-0.1337890625,ski,1,15.0,0.21789366401019136,0.7835807040488099,,,,,,,,,,,,,,,,,,,,,,,,
14,other,What is in the person's hand?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,0,50,0.8612825895396415,-0.1201171875,fris,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,other,Is the dog looking at a tennis ball or frisbee?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,0,145,0.5034767505456247,-0.048095703125,fris,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,other,What is the white streak?,contrail,http://images.cocodataset.org/train2014/COCO_train2014_000000393221.jpg,0,103,0.34984579864968873,-1.421875,jet,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,other,What is the child doing?,brushing teeth,http://images.cocodataset.org/train2014/COCO_train2014_000000393223.jpg,0,129,0.3586072898541244,-0.1748046875,br,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,other,What is the business man doing in the picture?,frowning,http://images.cocodataset.org/train2014/COCO_train2014_000000393224.jpg,0,56,0.5187832691829677,-1.5,making,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,other,What is the man riding on?,motorcycle,http://images.cocodataset.org/train2014/COCO_train2014_000000131084.jpg,0,41,0.32640525056792685,-1.1640625,dirt,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,other,What is on the pillow?,gray,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,4,98,0.9957468845915873,-1.9765625,pillow,4,62.0,0.0050278029031840706,0.9614809383242842,15.0,0.004772320138213131,23.0,0.005634098620494014,17.0,0.0055229667838105085,0.9664572819896988,0.9486586303348535,0.9603948809345497,,,,,,,,,,,,,,,
21,other,What is sitting on the bench?,purse,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,0,121,0.32769584202740276,-0.6640625,pur,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,other,What is the man doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,0,126,0.5750058859601406,-0.18359375,ski,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,other,What is the person wearing?,skis,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,1,109,0.7774952865881745,-1.015625,jacket,1,19.0,0.05497144379656659,0.9649618403823442,,,,,,,,,,,,,,,,,,,,,,,,
24,other,What is she holding?,poles,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,0,119,0.3197890180474551,-0.5,ski,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,other,What is the dog riding on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg,0,74,0.37998199528483245,-0.11572265625,surf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,other,What is in the water?,dog,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg,0,119,0.2881849724563801,-0.78125,surf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,other,"What does the green light, on the TV, indicate?",on,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,64,0.3661363433881106,-1.5859375,power,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,other,What room of the house is this?,office,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,127,0.40630343298090305,-0.421875,office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,other,What is the size of the TV?,large,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,50,0.4100031771092256,-1.3046875,un,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,other,How big is the TV?,very big,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,1,126,0.4742817917895603,-1.578125,un,1,16.0,0.10614052554127358,0.8194483718728035,,,,,,,,,,,,,,,,,,,,,,,,
31,other,What companion object to the TV can be seen in the bottom right of the picture?,laptop,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,132,0.6757599725971664,-0.54296875,laptop,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,other,What is the small computer on the left called?,laptop,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,41,0.9878930096207498,-0.52734375,laptop,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,other,What is above the TV?,vent,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,110,0.28811992248269724,-0.69921875,ceiling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,other,What is on the display?,document,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,126,0.3222180553973308,-1.8359375,un,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,other,Is it a monitor or a screen projection?,screen projection,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,133,0.9624047865744478,-0.427734375,screen,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,other,What is on the TV screen?,computer,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,121,0.33798805520982117,-1.8671875,un,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,other,What is the title of the presentation in the picture?,outlook web app,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,1,112,0.9857011078579715,-1.1953125,cultural,1,15.0,0.01692506433614579,0.7835807040488099,,,,,,,,,,,,,,,,,,,,,,,,
38,other,What is the man playing?,wii,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg,0,131,0.5352908671731842,-0.29296875,wii,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,other,What does the man have on his face?,glasses,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg,0,110,0.6170770992034648,-0.1982421875,glasses,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,other,What is in front of the giraffes?,tree,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,51,0.32965879196980435,-1.359375,log,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,other,What do these giraffes have in common?,eating,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,122,0.34753278485967515,-1.2890625,tall,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,other,What is the giraffe standing behind?,tree,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,94,0.37777004628231187,-0.92578125,tree,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,other,What is on the ground next to the giraffe on the right?,log,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,41,0.2995622761136159,-1.09375,log,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,other,How is the man sitting?,cross legged,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg,1,140,0.5789375450146942,-0.330078125,cross,1,17.0,0.05880298943880776,0.9774178175281716,,,,,,,,,,,,,,,,,,,,,,,,
45,other,"What does the word in the upper-left corner, behind the window, translate to in English?",automatic,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg,0,99,0.431039053726374,-0.482421875,automatic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,other,What type of watercraft is that?,raft,http://images.cocodataset.org/train2014/COCO_train2014_000000262171.jpg,0,115,0.4602300687654178,-0.6328125,raft,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,other,What is the vase sitting on?,railing,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg,0,100,0.9601748918456824,-1.03125,fence,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,other,Is the sun to the right or left of this flower?,left,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg,0,0,0.9968132302225774,-0.73828125,right,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,other,What is the zebra eating?,grass,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg,0,113,0.38331235820191534,-0.81640625,grass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,other,What is the tree covered with?,wire,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg,1,97,0.32042675612461274,-1.5,leaves,1,16.0,0.20205668479569472,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,,,,
51,other,What is the animal eating?,grass,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg,0,86,0.24890686416015334,-0.12451171875,grass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,other,How old is animal?,10 years,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg,0,126,0.37839699606007493,-1.8671875,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,other,What is the man holding?,knife,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg,0,140,0.45067279567790935,-0.5078125,knife,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,other,What is the man cutting?,cake,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg,0,59,0.44182714099995685,-0.1982421875,cake,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,other,What is the fruit?,banana,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,1,120,0.586408261493171,-0.18359375,banana,1,17.0,0.08534570608521215,0.8516924496551459,,,,,,,,,,,,,,,,,,,,,,,,
56,other,What is the name of the type of person that would make this food?,chef,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,1,48,0.35215870169497226,-1.2578125,chef,1,19.0,0.195996094130823,0.858059727974443,,,,,,,,,,,,,,,,,,,,,,,,
57,other,What type of ice cream is on the plate?,vanilla,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,0,122,0.43824876118711514,-0.3359375,vanilla,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,other,Is this an indoor or outdoor photo?,outdoor,http://images.cocodataset.org/train2014/COCO_train2014_000000524325.jpg,0,114,0.49429096598991046,-0.2177734375,outdoor,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,other,What's missing from this hot dog?,mustard,http://images.cocodataset.org/train2014/COCO_train2014_000000043697.jpg,1,65,0.44068178797947205,-1.015625,k,1,15.0,0.12479214583107938,0.8830374409547587,,,,,,,,,,,,,,,,,,,,,,,,
60,other,What is the hog dog sitting on?,bun,http://images.cocodataset.org/train2014/COCO_train2014_000000043697.jpg,2,89,0.4041866154774895,-0.1474609375,nap,2,15.0,0.10272815863567365,0.9654013672997089,16.0,0.14399491073067208,,,,,0.8194483718728035,,,,,,,,,,,,,,,,,
61,other,What is the sky full of?,clouds,http://images.cocodataset.org/train2014/COCO_train2014_000000262184.jpg,0,87,0.7537895851298622,-0.2080078125,clouds,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
