question_type,question,prefix,prompt,ground_truth,top_4_tokens,model_answer,image_url
object identification,What is this photo taken looking through?,Answer:,Answer with one word: What is this photo taken looking through? What is this photo taken looking through? Answer:,net,"[""Net"", ""Screen"", ""Web"", ""Baseball""]",Net,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg
object identification,What is this man riding on?,Answer:,Answer with one word: What is this man riding on? What is this man riding on? Answer:,skateboard,"[""What"", ""Board"", ""Yes"", ""Sk""]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000393227.jpg
object identification,What is this person doing?,Answer:,Answer with one word: What is this person doing? What is this person doing? Answer:,skiing,"[""Ski"", ""Cross"", ""What"", ""Snow""]",Ski,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg
object identification,What is this?,Answer:,Answer with one word: What is this? What is this? Answer:,bear,"[""Bear"", ""Dog"", ""Animal"", ""Black""]",Bear,http://images.cocodataset.org/train2014/COCO_train2014_000000137045.jpg
object identification,What is this device?,Answer:,Answer with one word: What is this device? What is this device? Answer:,refrigerator,"[""Phone"", ""Mic"", ""Camera"", ""Ice""]",Phone,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg
object identification,What is this animal?,Answer:,Answer with one word: What is this animal? What is this animal? Answer:,elephant,"[""Ele"", ""What"", ""This"", ""ele""]",Ele,http://images.cocodataset.org/train2014/COCO_train2014_000000262204.jpg
object identification,What is this person wearing on head?,Answer:,Answer with one word: What is this person wearing on head? What is this person wearing on head? Answer:,hat,"[""Hat"", ""Cap"", ""Hel"", ""Fed""]",Hat,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg
object identification,What is this man laying on?,Answer:,Answer with one word: What is this man laying on? What is this man laying on? Answer:,surfboard,"[""Sur"", ""Board"", ""Water"", ""Ocean""]",Sur,http://images.cocodataset.org/train2014/COCO_train2014_000000471373.jpg
object identification,What is this person holding?,Answer:,Answer with one word: What is this person holding? What is this person holding? Answer:,hot dog,"[""Hot"", ""Sand"", ""Bun"", ""Food""]",Hot,http://images.cocodataset.org/train2014/COCO_train2014_000000393428.jpg
object identification,What is this person standing on?,Answer:,Answer with one word: What is this person standing on? What is this person standing on? Answer:,sand,"[""Sand"", ""Beach"", ""Sur"", ""Ocean""]",Sand,http://images.cocodataset.org/train2014/COCO_train2014_000000474858.jpg
object identification,What is this cake made with?,Answer:,Answer with one word: What is this cake made with? What is this cake made with? Answer:,chocolate,"[""Brown"", ""Wal"", ""Car"", ""Ch""]",Brown,http://images.cocodataset.org/train2014/COCO_train2014_000000393445.jpg
object identification,What is this person doing?,Answer:,Answer with one word: What is this person doing? What is this person doing? Answer:,snowboarding,"[""Snow"", ""Ski"", ""What"", ""Perform""]",Snow,http://images.cocodataset.org/train2014/COCO_train2014_000000524551.jpg
other,What position is this man playing?,Answer:,Answer with one word: What position is this man playing? What position is this man playing? Answer:,pitcher,"[""Baseball"", ""What"", ""Starting"", ""Out""]",Baseball,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg
other,What is the person doing?,Answer:,Answer with one word: What is the person doing? What is the person doing? Answer:,skiing,"[""Ski"", ""Snow"", ""What"", ""Down""]",Ski,http://images.cocodataset.org/train2014/COCO_train2014_000000262146.jpg
other,What is in the person's hand?,Answer:,Answer with one word: What is in the person's hand? What is in the person's hand? Answer:,frisbee,"[""What"", ""Disc"", ""Dis"", ""Hand""]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg
other,Is the dog looking at a tennis ball or frisbee?,Answer:,Answer with one word: Is the dog looking at a tennis ball or frisbee? Is the dog looking at a tennis ball or frisbee? Answer:,frisbee,"[""Yes"", ""Tennis"", ""Looking"", ""F""]",Yes,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg
other,What is the white streak?,Answer:,Answer with one word: What is the white streak? What is the white streak? Answer:,contrail,"[""Jet"", ""Snow"", ""What"", ""Tra""]",Jet,http://images.cocodataset.org/train2014/COCO_train2014_000000393221.jpg
other,What is the child doing?,Answer:,Answer with one word: What is the child doing? What is the child doing? Answer:,brushing teeth,"[""What"", ""Using"", ""Looking"", ""She""]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000393223.jpg
