image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_10_n_points,cluster_10_avg_strength,cluster_11_n_points,cluster_11_avg_strength,cluster_3_entropy,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_entropy,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_13_n_points,cluster_13_avg_strength,cluster_12_entropy,cluster_13_entropy
0,object identification,What is this photo taken looking through?,net,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,3,348,0.9880159954000101,-0.741280734539032,Net,3,17.0,0.0033422509899708234,15.0,0.0030537166208013103,16.0,0.0031756865191909615,0.8919296718389884,0.9609640474436811,0.8980898459737487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,object identification,What is this man riding on?,skateboard,http://images.cocodataset.org/train2014/COCO_train2014_000000393227.jpg,12,178,0.977065605292856,-0.022987300530076027,Sk,12,16.0,0.003214534677517345,39.0,0.003119713838231434,20.0,0.0032558351840156633,0.8950145145731531,0.95608688913861,0.8564438107590803,16.0,0.00318540612426073,19.0,0.0031539370073559265,50.0,0.0031751791095392906,29.0,0.0032199155837156733,29.0,0.0032207956384032936,47.0,0.003113692910744303,15.0,0.003280027058343774,46.0,0.0031968944641764035,25.0,0.00319852394019043,0.9755307720176266,0.9462035592964384,0.9711164835109073,0.9912920730740395,0.9803191016087496,0.9774494038283421,0.7835807040488099,0.9929875007823311,0.931646288831146,,,,,,
2,object identification,What is this person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,8,291,0.9970690001772701,-0.8525318503379822,The,8,15.0,0.0021235233118838876,15.0,0.0021461541102937207,21.0,0.0021519508560180474,0.8983958159908183,0.8616157143988104,0.9517619850443704,18.0,0.00219069612272452,27.0,0.0021903288179867743,19.0,0.0021378646259951925,21.0,0.0021438025015854453,18.0,0.002110439735479896,,,,,,,,,0.8783471047618534,0.9746917888251707,0.9462035592964384,0.978033486181519,0.9773429734731779,,,,,,,,,,
3,object identification,What is this?,bear,http://images.cocodataset.org/train2014/COCO_train2014_000000137045.jpg,4,276,0.9503933902656562,-1.0891048908233643,Bear,4,33.0,0.00565785417674531,15.0,0.005369325696834475,44.0,0.006268213572599235,0.9372425311338689,0.9543063494363562,0.9571531019528033,16.0,0.00763153361776242,,,,,,,,,,,,,,,,,0.886859507142915,,,,,,,,,,,,,,
4,object identification,What is this device?,refrigerator,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg,6,189,0.9962520403379447,-0.24692760407924652,Re,6,16.0,0.0022908087666174324,15.0,0.002284097841724439,145.0,0.002557492828730091,0.9886085007312413,0.9664572819896988,0.9760343232687357,30.0,0.002530992715608309,41.0,0.0023866141288151933,19.0,0.0025253675020098,,,,,,,,,,,,,0.9824567505740444,0.978373064281298,0.8699773237111816,,,,,,,,,,,,
5,object identification,What is this animal?,elephant,http://images.cocodataset.org/train2014/COCO_train2014_000000262204.jpg,5,180,0.9981791306071245,-0.019028861075639725,Ele,5,59.0,0.0022746329072534993,89.0,0.0022838723396174203,51.0,0.002278989723506418,0.965374062186463,0.9780431169569425,0.9114888834597745,15.0,0.002170861738354151,18.0,0.0021034637198140433,,,,,,,,,,,,,,,0.9500685975366211,0.9955380299191111,,,,,,,,,,,,,
6,object identification,What is this person wearing on head?,hat,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg,5,210,0.9981493305795194,-0.14402242004871368,Hat,5,142.0,0.0020656594317240346,54.0,0.0020279267174687656,18.0,0.002024698626040721,0.9605422285324229,0.9870287412879867,0.9955380299191111,8.0,0.001988020092451574,19.0,0.0020435876626252107,,,,,,,,,,,,,,,0.9463946303571862,0.9796494552648446,,,,,,,,,,,,,
7,object identification,What is this man laying on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000471373.jpg,5,246,0.9990870500451671,-0.03403230756521225,Sur,5,16.0,0.001891169245605825,15.0,0.0018841572016652986,66.0,0.0018756096132237891,0.9755307720176266,0.9877812438119247,0.9789861741007687,23.0,0.0018821897657734412,51.0,0.0019003925992087467,,,,,,,,,,,,,,,0.9841517646228418,0.9470029708306298,,,,,,,,,,,,,
8,object identification,What is this person holding?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000393428.jpg,5,213,0.9960286089344217,-0.18262039124965668,Hot,5,32.0,0.0023411844596680225,15.0,0.0021845201863011153,74.0,0.002192506705009927,0.9232616544897537,0.9949490477321437,0.9953858393686303,26.0,0.0021717269412551495,19.0,0.0022515502629042524,,,,,,,,,,,,,,,0.9849660857232596,0.9431541408460862,,,,,,,,,,,,,
9,object identification,What is this person standing on?,sand,http://images.cocodataset.org/train2014/COCO_train2014_000000474858.jpg,3,298,0.993656247480601,-0.21085621416568756,Sand,3,23.0,0.0024936413546815172,32.0,0.0023917541393357927,20.0,0.002566654246573168,0.9370919134731258,0.9814849352773115,0.9089460785096519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,object identification,What is this cake made with?,chocolate,http://images.cocodataset.org/train2014/COCO_train2014_000000393445.jpg,14,237,0.9900336625582302,-0.12224200367927551,Ch,14,20.0,0.0021293334989428425,16.0,0.0021262448303518934,42.0,0.0021304242018054557,0.9911594714322186,0.9320201587042914,0.9853451944291881,15.0,0.00213182544869704,20.0,0.002126866508923028,33.0,0.0021234722360939325,18.0,0.0021267257278369386,26.0,0.0021249048563739843,44.0,0.0021254463237053204,26.0,0.002126244824984498,28.0,0.002129573949216958,31.0,0.0021281921165266244,0.9709505944546686,0.9008047485295138,0.9375103180245025,0.9758159039662214,0.9785634767531909,0.9890169567976743,0.9325023032951825,0.9926140680171256,0.981768562394777,29.0,0.00212580051117556,20.0,0.002128934645707367,0.98697797031737,0.9976834773764092
11,object identification,What is this person doing?,snowboarding,http://images.cocodataset.org/train2014/COCO_train2014_000000524551.jpg,2,285,0.9884595657159387,-0.8340779542922974,The,2,18.0,0.0034885425797410996,15.0,0.0027651841636235812,,,0.8962406251802889,0.9613833012053531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,other,What position is this man playing?,pitcher,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,2,334,0.9992371725934016,-0.11920883506536484,P,2,16.0,0.00207735396527169,107.0,0.0019725219199595756,,,0.9886994082884974,0.9778025093848901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,other,What is the person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000262146.jpg,5,231,0.9690532648852473,-0.7267114520072937,The,5,15.0,0.004070739139607163,172.0,0.004100196660372182,21.0,0.00419874414785362,0.9018972358711528,0.9717415171493932,0.9211854965885542,24.0,0.004314105135209024,29.0,0.004013049561053668,,,,,,,,,,,,,,,0.9608948553419607,0.9453273454467302,,,,,,,,,,,,,
14,other,What is in the person's hand?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,9,233,0.9990415968663847,-1.6356706619262695,A,9,27.0,0.0019162692165704553,59.0,0.0018877626501913746,24.0,0.0019136689243858963,0.9671616786460292,0.9754162268967019,0.9112034807099072,20.0,0.0018817997443366583,9.0,0.0018584022117190517,17.0,0.001881855173645729,18.0,0.0018697778190222103,11.0,0.001963458619599266,18.0,0.001943301315036127,,,,,,,0.9921503172858166,1.0,0.9856676426534905,0.9736669121131954,0.6840384356390417,0.9206198357143051,,,,,,,,,
15,other,Is the dog looking at a tennis ball or frisbee?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,6,222,0.9987352295624904,-0.9495864510536194,F,6,20.0,0.0026920088746279205,16.0,0.0022676047204066283,16.0,0.0022418118358887872,0.8927376486136671,0.9886085007312413,0.9618974703476992,24.0,0.002107405919872816,18.0,0.002389240404490928,25.0,0.0024505048497440994,,,,,,,,,,,,,0.9677023894542703,0.977342973473178,0.9293334771441444,,,,,,,,,,,,
16,other,What is the white streak?,contrail,http://images.cocodataset.org/train2014/COCO_train2014_000000393221.jpg,4,202,0.9686802058465326,-1.6712605953216553,Jet,4,61.0,0.004407927189399901,47.0,0.005955510300258064,22.0,0.004200363102997136,0.9603745104599639,0.9319214404688005,0.960058249314534,16.0,0.003797608607052269,,,,,,,,,,,,,,,,,0.9724056781360314,,,,,,,,,,,,,,
17,other,What is the child doing?,brushing teeth,http://images.cocodataset.org/train2014/COCO_train2014_000000393223.jpg,8,232,0.9708547919884871,-0.590377688407898,The,8,15.0,0.00458538454386024,24.0,0.004017569655551228,15.0,0.003584804026699649,0.9182958340544896,0.9478440781021911,0.9446232142545791,20.0,0.003972367705518029,22.0,0.0034505262735809727,17.0,0.0037578801369673944,27.0,0.0038058942065769684,18.0,0.004093692308046951,,,,,,,,,0.8862106770924657,0.995226686335856,0.9664022887695614,0.9701541708942544,0.9758159039662214,,,,,,,,,,
18,other,What is the business man doing in the picture?,frowning,http://images.cocodataset.org/train2014/COCO_train2014_000000393224.jpg,1,313,0.9632176778856523,-0.8655480146408081,The,1,16.0,0.00515372505129615,,,,,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,other,What is the man riding on?,motorcycle,http://images.cocodataset.org/train2014/COCO_train2014_000000131084.jpg,6,307,0.9983031812603478,-0.5844169855117798,D,6,17.0,0.0020390474571522106,51.0,0.0019724163843420216,16.0,0.001975015045479567,0.8409160494198367,0.9778839130801407,0.9528195311147832,15.0,0.0019846400872235493,16.0,0.001982938014704077,9.0,0.001947614288786718,,,,,,,,,,,,,0.9877812438119247,0.9414280318460244,0.9656336071428251,,,,,,,,,,,,
20,other,What is on the pillow?,gray,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,14,143,0.99273250785855,-1.9065357446670532,P,14,16.0,0.0021506638774640573,23.0,0.0021665868099799627,18.0,0.0021620622828206646,0.9755307720176265,0.9570850556153867,0.9728825026363701,16.0,0.0021297329210228136,43.0,0.0021494632835354853,15.0,0.002141977412031568,54.0,0.00214380545265331,84.0,0.00217361696558549,31.0,0.002139485633224206,16.0,0.0021640346773829752,15.0,0.002142776122147448,16.0,0.0021498416522246666,0.9886085007312413,0.9756718839840665,1.0,0.9677658037999465,0.9759385573235455,0.9714634447796382,0.886859507142915,0.9877812438119247,0.9755307720176266,26.0,0.0021585288189377573,18.0,0.0021607904847499343,0.9450520768166325,0.9656336071428251
21,other,What is sitting on the bench?,purse,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,1,253,0.9809075894128297,-0.8452702760696411,Pur,1,79.0,0.004679649762803348,,,,,0.969796775200468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,other,What is the man doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,6,247,0.9772309194630244,-0.6940596699714661,The,6,18.0,0.003422077365239843,100.0,0.003728742935423886,15.0,0.0038391556214470873,0.9535998353544739,0.9637754626819675,0.8024677973715657,30.0,0.0033229606438736343,38.0,0.00426602461093466,25.0,0.0035260254632832077,,,,,,,,,,,,,0.9608629101672778,0.9417970286595597,0.9949956408022635,,,,,,,,,,,,
23,other,What is the person wearing?,skis,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,5,261,0.9894458147099996,-1.377563714981079,Jack,5,28.0,0.002476722289289998,15.0,0.0024453496918034447,21.0,0.002483695689540898,0.9762175452369313,0.9949490477321437,0.997618320255157,24.0,0.002506111351243619,30.0,0.002429932728644618,,,,,,,,,,,,,,,0.8936586862414604,1.0,,,,,,,,,,,,,
24,other,What is she holding?,poles,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,4,231,0.9961710522438973,-0.45861849188804626,Ski,4,62.0,0.0019262891653288995,38.0,0.001916445099845778,15.0,0.0019518209847399616,0.9666825600958524,0.9724667279614662,0.7835807040488099,35.0,0.0019261882408959164,,,,,,,,,,,,,,,,,0.9728806637786349,,,,,,,,,,,,,,
25,other,What is the dog riding on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg,9,238,0.999025447541058,-0.04244949296116829,Sur,9,17.0,0.0019337816474025234,32.0,0.0019359873066498792,26.0,0.001932713578844048,0.8919296718389884,0.9110644478228669,0.9499751659432053,11.0,0.0019116976102426077,16.0,0.001951360790511014,27.0,0.0019195140318517695,4.0,0.0018753138763218512,16.0,0.001931705292360477,7.0,0.0019014289008140357,,,,,,,0.9431887805255736,0.949701216438411,0.9397197537274474,1.0,0.9056390622295665,0.9852281360342515,,,,,,,,,
