image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_8_entropy,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_11_n_points,cluster_11_avg_strength,cluster_12_n_points,cluster_12_avg_strength,cluster_10_entropy,cluster_11_entropy,cluster_12_entropy,cluster_13_n_points,cluster_13_avg_strength,cluster_13_entropy
0,Object Counting,How many cats are in the image?,2,http://images.cocodataset.org/val2017/000000039769.jpg,4,197,1.0000000000000069,-0.16347815096378326,,4,17.0,0.0020815993048887327,215.0,0.0020824314712288424,137.0,0.002076832899697135,16.0,0.002074439037695215,0.9360847109776411,0.9769051129497521,0.9795294159461708,0.9463946303571862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Object Counting,How many people are visible?,4,http://images.cocodataset.org/val2017/000000334555.jpg,8,240,0.9979289330391524,-0.16581358015537262,,8,32.0,0.0020269660662899985,27.0,0.002025590066980479,24.0,0.0020295338014381485,117.0,0.0020468241029001242,0.9643133128622856,0.9768423538049816,0.9859894062555719,0.9811906032084998,16.0,0.002045660802032662,16.0,0.00204821229853956,18.0,0.0020362363006153775,15.0,0.0020351694218850476,0.8194483718728035,1.0,0.8962406251802889,0.9018972358711528,,,,,,,,,,,,,,,,,,
2,Object Counting,How many elephants are present?,3,http://images.cocodataset.org/val2017/000000025393.jpg,6,192,1.0000000000000069,-0.09236517548561096,,6,145.0,0.0018678680403069361,26.0,0.0018484789052327524,28.0,0.001879417260244171,26.0,0.0018597824004678441,0.9832763408294577,0.9793283207185154,0.9285249215482253,0.9645632363857178,16.0,0.001843327738618612,12.0,0.0018518940474076375,,,,,0.9592101522724052,1.0,,,,,,,,,,,,,,,,,,,,
3,Object Identification,What animal is shown?,elephant,http://images.cocodataset.org/val2017/000000025393.jpg,6,270,1.0000000000000069,-0.9583725929260254,Human,6,41.0,0.00198457655939142,11.0,0.0019854193887431804,9.0,0.0019885372994225287,16.0,0.0019868454860452675,0.9857192415032564,0.9431887805255736,0.9910760598382222,0.9618974703476992,52.0,0.0019851457180373447,15.0,0.0019849977681172014,,,,,0.986598941200276,0.9664572819896988,,,,,,,,,,,,,,,,,,,,
4,Object Identification,What vehicle is in the image?,bus,http://images.cocodataset.org/val2017/000000109798.jpg,8,371,1.0000000000000069,-1.2723608016967773,None,8,59.0,0.0023682321294944356,51.0,0.0023796378781435965,18.0,0.002371105372211536,34.0,0.0023764907527016477,0.984177559764635,0.9829386643215716,0.8783471047618534,0.9698755607784098,24.0,0.002338934230771177,50.0,0.0023698704557011487,19.0,0.0023525448522991846,16.0,0.0023200626038135524,0.9859894062555719,0.960080000142348,0.9975194757207203,0.9886085007312413,,,,,,,,,,,,,,,,,,
6,Object Identification,What is the main furniture item?,bed,http://images.cocodataset.org/val2017/000000356347.jpg,6,248,1.0000000000000069,-1.3739625215530396,Table,6,44.0,0.002597320917780571,15.0,0.002486266235431315,10.0,0.0023861496769371367,81.0,0.0026245881044048317,0.9634777510301709,0.9161314485121343,0.9602297178607612,0.9660257157642892,15.0,0.0025369966747884613,18.0,0.0024533990354649393,,,,,0.9877812438119247,0.977342973473178,,,,,,,,,,,,,,,,,,,,
7,Object Detection,What is on the desk?,laptop,http://images.cocodataset.org/val2017/000000231339.jpg,6,105,0.9998946959115174,-2.4415197372436523,B,6,243.0,0.0019875005565919697,16.0,0.0019647702854159272,115.0,0.001994391302544855,64.0,0.0019849683265151796,0.9797209771512919,0.9681390622295665,0.9718630220027297,0.9681311911142274,4.0,0.0019294028079648654,17.0,0.0019672435961346417,,,,,1.0,0.950753201250753,,,,,,,,,,,,,,,,,,,,
8,Object Detection,What electronic device is visible?,laptop,http://images.cocodataset.org/val2017/000000459467.jpg,4,290,1.0000000000000069,-2.3961148262023926,Camera,4,18.0,0.002599143312357705,18.0,0.0024519675533748076,25.0,0.002644960161175658,15.0,0.0023358427762217933,0.9319131950454078,0.9375433175393748,0.8993900109129785,0.9613833012053531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Object Counting,How many umbrellas are visible?,1,http://images.cocodataset.org/val2017/000000285894.jpg,8,280,0.9998946959115175,-0.10061411559581757,,8,15.0,0.001851054312708831,125.0,0.0018670866215878693,17.0,0.0018648003603383516,24.0,0.0018564118966467858,0.9877812438119247,0.9861269957118606,0.9127332405984697,0.9192496137328233,14.0,0.0018613778586524753,41.0,0.0018636318779231302,15.0,0.0018501712448692105,19.0,0.0018573730816724388,0.8120406807941002,0.9893018187588994,1.0,0.9355095604394199,,,,,,,,,,,,,,,,,,
11,Object Identification,What appliance is in the kitchen?,refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,7,250,0.9990674830650621,-1.7665035724639893,Re,7,16.0,0.005798882931695755,15.0,0.004436469288924707,34.0,0.003993240914118167,18.0,0.0035314575345273586,0.8387794678549646,1.0,0.9820651640016079,0.9823887817956214,11.0,0.0037573943702747716,37.0,0.005747545474288143,20.0,0.00574299483275506,,,0.9056185178648963,0.9670520572448198,0.9602297178607612,,,,,,,,,,,,,,,,,,,
