image_id,question_type,question,ground_truth,full_answer,full_correct,high_answer,high_correct,low_answer,low_correct,random_answer,random_correct
0,yes/no,Is this breakfast?,no,"no, this is not breakfast. the image shows a hot dog with toppings, a side of sweet potato fries, and a small bowl of mayonnaise, which are typically associated with lunch or dinner.",True,"no, this is not breakfast. the dish appears to be a hot dog with toppings and a side of sweet potato fries, which is more commonly associated with lunch or dinner.",True,"no, this is not breakfast. the dish appears to be a hot dog with sautages and a side of fries, which is typically served for lunch or dinner.",True,"no, this is not breakfast. the dish appears to be a hot dog with fries and a side of sauce, which is typically associated with lunch or dinner.",True
1,yes/no,Is this terminal safe at night?,yes,it is unknown if the terminal is safe at night.,False,"the image shows a person standing at an airport terminal at night, with luggage and a trolley. the area appears to be well-lit and seems to be a designated waiting or boarding area. however, it's always advisable to be aware of your",False,"the image shows a person standing at an airport terminal at night, with luggage and a trolley. the area appears to be well-lit and seems to be a designated waiting or boarding area. however, it's always advisable to be aware of your",False,"the image shows a person standing at an airport terminal at night, with luggage and a trolley nearby. the area appears to be well-lit and seems to be a designated waiting or boarding area. while it's generally safe to be at an airport",False
2,yes/no,Is this person prone on his back or on his knees?,no,"the person is sitting on the snow, with their knees bent and their hands resting on their knees.",True,the person in the picture is sitting on their knees in the snow.,True,the person in the picture is sitting on their knees in the snow.,True,the person in the picture is sitting on their knees in the snow.,True
3,yes/no,Are the drying the animal with a blow dryer?,yes,"yes, it appears that the person on the the right is using a blow dryer to dry the animal.",True,"yes, the person on the the right is using a blow dryer to dry the animal.",True,"yes, the person on the the right is using a blow dryer to dry the animal.",True,"yes, it appears that the person on the the right is using a blow dryer to dry the animal.",True
4,yes/no,Is the man smiling?,no,"no, the man is not smiling. he appears to be making a serious or stern expression.",True,the man in the picture is not smiling.,True,the man in the picture is not smiling.,True,the man in the picture is not smiling.,True
5,yes/no,Is the red stop sign on a wooden pole?,no,"no, the stop sign in the picture is not on a wooden pole. it is on a metal pole.",True,"yes, the red stop sign is on a wooden pole.",False,"yes, the red stop sign is on a wooden pole.",False,"yes, the red stop sign is on a wooden pole.",False
6,yes/no,Are all zebras facing the same way?,no,"no, not all zebras are facing the same way.",True,"no, the zebras in the top left and bottom right are facing left, while the zebra in the the top right and bottom left are facing right.",True,"no, the zebras in the foreground is facing to the right, while the two zebras in the background are facing to the left.",True,"no, the zebras in the image are not all facing the same way. the first zebra is facing to the left, the second zebra is facing to the right, the third zebra is facing to the left, and the fourth z",True
7,yes/no,Is this a cow farm?,yes,it is ambiguous whether it is a cow farm or not.,False,"no, this is not a cow farm. the image shows a flock of sheep grazing on a grassy-covered hill. there are no cows visible in the picture.",False,the image shows a group of sheep grazing on a grassy-covered hill. it does not appear to be a cow farm.,False,"no, this is not a cow farm. the image shows a flock of sheep grazing on a grassy-covered hill.",False
8,counting,How many men are playing baseball?,5,there are six men playing baseball in the picture.,False,there are four men playing baseball in the image.,False,there are four men playing baseball in the picture.,False,there are four men playing baseball in the picture.,False
9,other,What is written on the street?,nothing,"the street is written as ""somerset.""",False,"the text on the street reads ""e spruce st.""",False,"the street is written as ""sparrow st.""",False,"the text on the street reads ""1343.""",False
10,counting,How many trees are in this photo?,3,i am not sure,False,there is one tree in the photo.,False,there is one tree in the photo.,False,there is one tree in the photo.,False
11,other,What is in the picture?,clock,"the image shows a street scene with a large rolex clock mounted on a pole. the clock is prominently displayed in the foreground, and it is situated on a sidewalk near a road. there are several cars parked along the street, and a few trees-lined",True,"the picture shows a street scene with a clock mounted on a pole. the clock is labeled ""fcc."" in the background, there is a tree, a building, and a parked car. the setting appears to be a small town or a suburban",True,"the picture shows a street scene with a large, round clock mounted on a black pole. the clock is positioned near a tree and a building. there is a car parked on the street next to the the clock. the background includes a brick wall and",True,"the picture shows a street scene with a clock mounted on a pole. the clock is located on a sidewalk, and there is a tree trunk and a parked car in the background. the street appears to be a quiet area with some buildings and a flag",True
12,yes/no,Is the room almost full?,no,"no, the room is not almost full. the room appears to be empty except for the furniture and plants.",True,"the room appears to be almost full. there are several pieces of furniture and decorative items, including a red couch, a table, and various plants. the space is well-decorateded, and there is limited room for additional items.",False,"the room appears to be almost full. there are several pieces of furniture and decorative items, including a red couch, a chandelier, and potted plants. the space is well-decorateded, but there is still some room for additional items",False,"the room appears to be almost full. there are several potted plants, a red couch, and other appears to be a table with a fan and some other other items. the space is being used efficiently, but there is still some room available.",False
13,classification,What kind of suit is he wearing?,swim,the man is wearing a pair of gray board shorts.,False,the person in the picture is wearing a red wets suit.,False,the person in the picture is wearing a red wets suit.,False,the person in the picture is wearing a red wets suit.,False
14,location,Where do you think all these are located?,restaurant,"it is ambiguous where all these are located. it could be a restaurant, dining room, or dining table.",True,"the image depicts a restaurant setting with tables set for dining. the tables are covered with white tablecloths, and each table has has a plate, a fork, a knife, and a glass. the background shows other few more tables and chairs,",True,"the image shows a restaurant setting with tables set for dining. the tables are covered with white tablecloths, and each table has has a plate, a knife, a fork, a glass, and a wine glass. the background shows other few more",True,"the image shows a dining setting with white tablecloths, place settings, and a water bottle. the environment appears to be a formal or semi-formal dining area, possibly in a restaurant or a banquet hall. the presence of multiple tables and chairs",True
15,counting,How many phones do you see?,1,i see one phone in the picture.,False,there is one phone visible in the picture.,False,there is one phone visible in the picture.,False,there is one phone visible in the picture.,False
16,other,What power tool is present?,drill,"i don't know what power tool is present. it can be drill, screwdriver, or wrench.",True,there is a drill in the the image.,True,there is a drill in the the image.,True,there is a drill in the bathroom.,True
17,counting,How many glasses are there?,2,there are two glasses on the table.,False,there are two glasses on the table.,False,there are two glasses in the picture.,False,there are two glasses in the picture.,False
18,yes/no,Is this an inside stadium?,yes,"yes, the image is taken inside a stadium.",True,"yes, the image appears to be taken inside a baseball stadium. the presence of the crowd, the baseball field, and the players in their uniforms suggest that this is a professional or semi-professional baseball game.",True,"yes, the image appears to be taken inside a stadium. the presence of a baseball field, players, and spectators in the stands suggests that this is a professional baseball game taking place in a stadium.",True,"yes, the image appears to be taken inside a stadium. the presence of a large crowd, the baseball field, and the dugout in the background all indicate that this is a baseball game taking place in a stadium.",True
19,color recognition,What color is the sky?,gray,the sky is gray.,True,the sky in the picture is gray.,True,the sky in the picture is gray.,True,the sky in the picture is gray.,True
20,yes/no,Are these boys at home?,no,it is ambiguous whether there are boys at home.,False,"no, there are no boys present in the image. the image shows a living room with furniture, a television, and some decorative items.",True,there are no boys present in the image.,True,there are no boys present in the image.,True
21,other,What time is it?,1:50,the time is 10:10.,False,the image does not show a clock or any indication of the time. it appears to be a collage of various kitchen items and decorations.,False,the time shown on the clock in the image is 10:10.,False,the time on the clock in the image is 10:10.,False
22,color recognition,What color is the plate?,white,the plate is white.,True,the plate is white.,True,the plate is white.,True,the plate is white.,True
23,yes/no,Has someone started eating?,no,it is ambiguous whether someone has started eating.,False,"based on the image, it appears that someone has started eating. the hot dog bun is partially eaten, and there are some pieces of food that seem to have been taken.",False,"the image shows a plate with a hot dog, fries, and a small cup of condiment. there is no visible evidence of someone starting to eat, such as a bite taken out of the food or a used fork or knife.",True,there is no evidence in the image that someone has started eating. the food items appear to be untouched.,True
24,other,What is the black thing he is wearing?,apron,the man is wearing a black apron.,True,the person in the picture is wearing an apron.,True,the person in the picture is wearing an apron.,True,the person in the picture is wearing a black apron.,True
25,other,What is the name of the yellow fruit pictured?,banana,the yellow fruit pictured is a pear.,False,the yellow fruit pictured is a banana.,True,the yellow fruit pictured is a banana.,True,the yellow fruit pictured is a banana.,True
26,other,What topping is on the hot dog?,onions,the hot dog is topped with onions.,True,the hot dog is topped with onions.,True,the hot dog is topped with sauerkraut.,False,the hot dog is topped with onions.,True
27,comparison,Which vehicle is the smallest?,car,the the smallest vehicle is the green car.,True,the smallest vehicle in the picture is the beige car in the center.,True,the smallest vehicle in the picture is the beige car.,True,the smallest vehicle in the picture is the green car.,True
28,counting,How many colors are in the tile?,1,"the tile in the bathroom has has one color, which is black.",False,there are two colors in the tile: white and blue.,False,"the image shows a bathroom under construction with various tools and equipment scattered around. the tiles on the floor appear to be a single color, likely a dark gray or black.",False,there are two colors in the tile: white and blue.,False
29,reasoning,Why are there so many clothes on the bed?,laundry,"it is unclear why there are so many clothes on the bed. it could be because the person is in the process of changing, or they are cleaning up their room, or they are packing for a trip, or they are just lazy and don't",False,"the bed is covereded with clothes, which suggests that the person might be in the process of organizing, sorting, or packing their clothes. this the bed is covereded with clothes, which suggests that the person might be in the process of organizing,",False,the bed is covereded with a lot of clothes.,False,"the image shows a person lying on a bed with a large pile of clothes next to them. it is possible that the person is in the the process of organizing or sorting their clothes, or they may have recently unpackeded or are in the process",False
30,color recognition,What color are the chairs?,blue,the chairs in the picture are blue.,True,the chairs in the picture are blue.,True,the chairs in the picture are blue.,True,the chairs in the picture are blue.,True
31,other,What is being held green?,light,"i don't know what is being held green. it can be a traffic light, a stoplight, a sign, a light, a traffic signal, a traffic light, a traffic signal, a traffic light, a traffic light, a traffic light",True,the image shows a green traffic light at an intersection.,True,the green object in the image appears to be a traffic light.,True,the image shows a green traffic light at an intersection.,True
32,yes/no,Is this the latest make and model?,no,"no, it is not the latest make and model. the bus in the picture appears to be an older model, possibly from the mid-20th century, based on its design and features.",True,"no, this is not the latest make and model. the bus appears to be a vintage or classic model, likely from the mid-20th century. the design and features, such as the rounded windows and the style of the sign, suggest",True,"no, this is not the latest make and model. the vehicle appears to be a vintage or classic bus, likely from the mid-20th century. the design and style of the bus suggest it is not a modern model.",True,"no, this is not the latest make and model. the bus in the picture appears to be a vintage or classic model, likely from the mid-20th century. the design and features, such as the round headlights and the overall body style",True
33,yes/no,Are there 3 elephants?,yes,"yes, there are three elephants in the picture.",True,"yes, there are three elephants in the picture.",True,"yes, there are three elephants in the picture.",True,"yes, there are three elephants in the picture.",True
34,color recognition,What color are the girls earrings?,silver,the girls earrings are silver.,True,the girls are wearing silver earrings.,True,the girls are wearing earrings. one of the earrings is silver and the other other is gold.,True,the girl on the right is wearing a large hoop earring.,False
35,other,What symbol sits atop the tower?,cross,the symbol atop the tower is a cross.,True,the symbol atop the tower is a cross.,True,the symbol atop the tower is a cross.,True,the symbol atop the tower is a cross.,True
36,yes/no,The tablecloths are white?,yes,"yes, the tablecloths in the picture are white.",True,"yes, the tablecloths in the picture are white.",True,"yes, the tablecloths in the picture are white.",True,"yes, the tablecloths in the picture are white.",True
37,yes/no,Is there snow?,yes,"yes, there is snow in the picture. the person is standing on a snow-covered surface, and the background also shows a snowy landscape.",True,"yes, there is snow in the picture. the person is standing on skis in a snowy environment.",True,"yes, there is snow in the picture. the person is skiing on a snowy surface.",True,"yes, there is snow in the picture. the person is skiing on a snowy surface.",True
38,counting,How many girls are visible?,2,there is one girl visible in the picture.,False,there is one girl visible in the picture.,False,there is one girl visible in the picture.,False,there is one girl visible in the picture.,False
39,other,What's missing from this hot dog?,mustard,the hot dog is missing some toppings.,False,"the hot dog in the picture is missing some common toppings such as ketchup, mustard, onions, and possibly pickles or sauerkraut.",True,"the hot dog in the picture is missing some common toppings that are typically added to a hot dog. these toppings include ketchup, mustard, onions, relish, and possibly sauerkraut or cheese.",True,"the hot dog in the picture is missing some common toppings that are typically added on a hot dog. these toppings include ketchup, mustard, onions, relish, and possibly cheese.",True
40,color recognition,What color horse is closer to the camera?,black,the color of the horse closer to the camera is black.,True,the horse closer to the camera is black.,True,the horse closer to the camera is black.,True,the closer horse to the camera is black.,True
41,other,How has the cheese been prepared?,melted,the cheese appears to be melted and spread over the hot dog. it is likely that the cheese was melted and then spread over the hot dog to create a creamy and gooey topping.,True,the cheese has been melted and placed in a small white cup.,True,the cheese has been prepared as a dip.,False,the cheese has been melted and placed in a small white bowl.,True
42,color recognition,What color is the players shirt?,orange,the player's shirt is orange.,True,the player's shirt is orange.,True,the player's shirt is orange.,True,the player's shirt is orange.,True
43,classification,What kind of passenger does the bus carry?,children,the bus carries school children.,True,the bus in the picture is a school bus.,False,the bus in the picture is carrying school children. this,True,the bus in the picture is carrying passengers.,False
44,other,What does the wall say on the far left?,nothing,i am not sure,False,"the wall in the image has the text ""wall"" on the far left.",False,"the wall in the image has the text ""wall"" on it.",False,"the wall in the image has the text ""wall"" on the far left.",False
45,other,What is the green stuff?,broccoli,the green stuff in the picture is broccoli.,True,the green stuff in the image appears to be broccoli.,True,the green stuff in the container appears to be broccoli.,True,the green stuff in the image appears to be broccoli.,True
46,location,Where is the light coming from?,window,"the light is coming from a window or a door that is open, allowing natural light to enter the bathroom.",True,the light in the image is coming from the left side of the bathroom.,False,the light is coming from the window on the left side of the image.,True,the light is coming from the window on the left side of the image.,True
47,yes/no,Is there broccoli on a slice of pizza?,yes,"no, there is no broccoli on a slice of pizza.",False,"no, there is no broccoli on a slice of pizza in the picture.",False,"yes, there is broccoli on a slice of pizza in the picture.",True,"no, there is no broccoli on the slice of pizza in the picture. the pizza has broccoli on it.",False
48,yes/no,Are there three sheep?,yes,"yes, there are three sheep in the picture.",True,"yes, there are three sheep in the picture.",True,"yes, there are three sheep in the picture.",True,"yes, there are three sheep in the picture.",True
49,counting,How many TVs are on?,1,i is on.,False,there is one tv on in the picture.,False,there is one tv on in the picture.,False,there is no tv on in the picture.,False
50,yes/no,Are there clouds visible?,no,"no, there are no clouds visible in the image. the sky appears to be clear and blue.",True,"yes, there are clouds visible in the image.",False,"yes, there are clouds visible in the image.",False,"no, there are no clouds visible in the image. the sky appears to be clear.",True
51,counting,How many ski boards are in the picture?,5,there are 5 ski boards in the picture.,True,there are four ski boards in the picture.,False,there are five ski boards in the picture.,False,there are five ski boards in the picture.,False
52,other,What is in the glass in the lower right?,wine,"the glass in the lower right contains a red liquid, which appears to be a type of cocktail or mixed drink.",False,"the glass in the lower right contains a red liquid, which appears to be a cocktail or a mixed drink.",False,"the glass in the lower right contains a red liquid, which appears to be a cocktail or a mixed drink.",False,"the glass in the lower right contains a red liquid, which appears to be a cocktail or a mixed drink.",False
53,yes/no,Is the building a high rise?,no,"no, the building in the picture is not a high-rise. it is a two-story building with a clock tower on top. the clock tower has a small bell and a clock face, and the building has a red brick exterior with a tiled roof",True,"the building in the picture is not a high-rise. it appears to be a two-story structure with a clock tower on top. the clock tower is relatively tall compared to the main building, but it is not a skyscraper or a multi-story high",True,"the building in the picture is not a high-rise. it appears to be a single-story structure with a clock tower. the clock tower is relatively tall compared to the rest of the building, but it is not a skyscraper or a multi-story building",True,the building in the picture is not a high-rise. it appears to be a two-story structure with a prominent clock tower and a red brick facade. the surrounding greenery and the style of the building suggest it is more of a historical or rural type,True
54,other,What is the person wearing?,skis,"the person is wearing a blue jacket, black pants, and ski boots.",False,the person is wearing a blue jacket and white pants.,False,the person is wearing a blue shirt and black pants.,False,the person is wearing a blue shirt.,False
55,other,How big is the TV?,very big,it is unknown how big the tv is. it can be seen big or small.,False,"the tv in the picture appears to be quite large, likely a flat-screen television or a projector screen. it is mounted on the wall and occupies a significant portion of the wall space. the size seems to be suitable for a conference room or a classroom",False,"the tv in the picture appears to be relatively large, but it is difficult to determine the exact size without a reference object. it is large enough to display the content clearly in the room.",False,"the tv in the picture appears to be quite large, likely a flat-screen television or a projector screen. it is displaying a presentation or a web page. the size of the tv is not specified in the image, but it seems to be a standard",False
56,yes/no,Is this man swimming?,no,"no, the man is not swimming. he appears to be surfing or bodyboarding, as he is on a surfboard or a similar board in the water.",True,"no, the man is not swimming. he appears to be surfing, riding a wave on a surfboard.",True,"no, the person in the the image is not swimming. they appear to be standing in the water, possibly wading or waiting for something.",True,"no, the man is not swimming. he appears to be surfing, riding a wave on a surfboard.",True
57,object identification,What is this cake made with?,chocolate,"the cake in the picture appears to be a chocolate cake. it is likely made with ingredients such as flour, sugar, eggs, butter, and cocoa powder. the presence of chocolate chunks on top suggests that it might may also contain chocolate chips or pieces",True,"the cake in the picture appears to be a chocolate cake. it is topped with chocolate chunks, which suggests it might is a chocolate cake with chocolate chunks. the texture and appearance also indicate it might is a rich, moist cake, likely made with ingredients",True,"the cake in the picture appears to be a chocolate cake. it is likely made with ingredients such as flour, sugar, eggs, butter, and cocoa powder. the texture and appearance suggest it might is a rich, moist cake, possibly with a f",True,"the cake in the picture appears to be a chocolate cake. it is topped with a generous amount of chocolate shavings or pieces, and it looks moist and rich. chocolate cakes are typically made with chocolate, flour, sugar, eggs, and butter,",True
58,other,What silverware is on the table?,knife and fork,the silverware on the table includes a knife and a fork.,False,there is a fork and a knife on the table.,False,there is a fork and a knife on the table.,False,there is a fork and a knife on the table.,False
59,counting,How many windows are there?,3,i is no windows,False,there is one window in the picture.,False,"there are two windows in the picture. one is located above the the sink, and the other other is above the the shower area.",False,there are two windows in the picture.,False
60,other,What is the approximate time period of this photo?,1950s,the approximate time period of this photo is the 1940s.,False,"the photo appears to be from the mid-20th century, likely the 1950s or 1960s. this",True,"the photo appears to be from the mid-20th century, likely the 1950s or 1960s. this",True,"the photo appears to be from the mid-20th century, likely the 1940s or 1950s. this",True
61,other,What is the man cutting?,cake,the man is cutting a cake.,True,the man is cutting a cake.,True,the man is cutting a cake.,True,the man is cutting a cake.,True
62,yes/no,Is the toilet lid down?,yes,"yes, the toilet lid is down in the picture.",True,the toilet lid is down in the picture.,False,the toilet lid is down in the picture.,False,the toilet lid is down in the picture.,False
63,other,What mountain was this taken at?,lookout,it is unknown which mountain this picture was taken at.,False,the image was taken at squaw valley ski resort in california. the distinctive mountain and the presence of the squaw valley lift system in the background confirm this.,False,"the image was taken at whistler blackcomb ski resort in british columbia, canada. the distinctive mountain range and the ski lift in the background are characteristic of whistler blackcomb.",False,"the image was taken at whistler blackcomb ski resort in british columbia, canada. the distinctive mountain peaks and the ski lift in the background are characteristic of whistler blackcomb.",False
64,yes/no,Is this in a desert?,yes,"no, this is not in a desert. the image shows a savanna landscape with dry grass and scattered trees, which is typical of grasslands found in regions like africa.",False,"no, this is not in a desert. the image shows a group of zebras in a grassyland, which is typical of savannas found in regions like africa. deserts are characterized by very low rainfall and sparse vegetation, while sav",False,"no, this is not in a desert. the image shows a savanna landscape with dry grass and scattered trees, which is typical of grasslands found in regions like africa. zebras are commonly found in such environments.",False,"no, this is not in a desert. the image shows a savanna landscape with dry grass and scattered trees, which is typical of grasslands found in regions like the serengeti, the kalahari desert, or parts of africa.",False
65,yes/no,Is she wearing a bathing suit?,yes,"yes, she is wearing a bathing suit.",True,"yes, she is wearing a bathing suit.",True,"yes, she is wearing a bathing suit.",True,"yes, she is wearing a bathing suit.",True
