image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_8_entropy,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_10_entropy,cluster_11_n_points,cluster_11_avg_strength,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_12_entropy
0,Object Counting,How many cats are in the image?,2,http://images.cocodataset.org/val2017/000000039769.jpg,4,142,0.9987142292254462,-0.16347815096378326,,4,324.0,0.0019568753072303387,21.0,0.0019300468847391447,26.0,0.0019402359355860587,21.0,0.0019464058177706392,0.9830275031743401,0.9718244030577465,0.964563236385718,0.997618320255157,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Object Counting,How many people are visible?,4,http://images.cocodataset.org/val2017/000000334555.jpg,8,114,0.9984492119326046,-0.16581358015537262,,8,132.0,0.001956445118170202,27.0,0.0019417195993758824,19.0,0.0019452814869462644,19.0,0.0019413661191135943,0.9756665468781609,0.9665424376152272,0.9796494552648447,0.9427556840016249,11.0,0.0019539553966764563,114.0,0.001954652326591985,39.0,0.001955429658573373,44.0,0.0019602936034324014,0.9940302114769565,0.986236890365068,0.9617183424033408,0.939329878642036,,,,,,,,,,,,,,,
2,Object Counting,How many elephants are present?,3,http://images.cocodataset.org/val2017/000000025393.jpg,6,158,0.999268811309639,-0.09236517548561096,,6,128.0,0.0018915722287370393,38.0,0.0018805532858155016,29.0,0.0019161902172645713,45.0,0.0018970051776646408,0.9781410298462601,0.9877594112011784,0.948791304529859,0.9775897603954918,15.0,0.0018677263755091501,21.0,0.0018622228305859782,,,,,0.9613833012053531,0.9771861514912165,,,,,,,,,,,,,,,,,
3,Object Identification,What animal is shown?,elephant,http://images.cocodataset.org/val2017/000000025393.jpg,7,192,0.9931628157890706,-0.9583725929260254,Human,7,44.0,0.002071719225519859,8.0,0.002037908789097026,166.0,0.0020712184061022674,24.0,0.002081102209615758,0.9691993657768725,0.954434002924965,0.977055506565248,0.966465823449233,18.0,0.0020638792311926243,19.0,0.002081867725463439,17.0,0.0020522949846084426,,,0.9182958340544896,0.9520903566147753,0.9664022887695614,,,,,,,,,,,,,,,,
4,Object Identification,What vehicle is in the image?,bus,http://images.cocodataset.org/val2017/000000109798.jpg,4,266,0.9926579587093839,-1.2723608016967773,None,4,34.0,0.002379206055325633,16.0,0.002302724053745426,32.0,0.0023502120860419955,16.0,0.0024934143149526774,0.9435753004834412,0.9724056781360315,0.9554096360677716,0.954434002924965,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Object Identification,What is the main furniture item?,bed,http://images.cocodataset.org/val2017/000000356347.jpg,10,198,0.9971811267330968,-1.3739625215530396,Table,10,24.0,0.0022555734849202817,17.0,0.002355235175058503,59.0,0.002261938769131303,23.0,0.0023399794544191397,0.9856259180022331,0.9975025463691152,0.9500663292510837,0.9659535505394684,72.0,0.0022105843991823346,25.0,0.0021997515836669184,12.0,0.0021552639472218805,38.0,0.0021921413099120386,0.9603125425703887,0.9787071762354438,0.9808340377961404,0.9795845574473844,29.0,0.002197073131361669,16.0,0.0021980906527242503,0.9671441365986523,0.9965119062478288,,,,,,,,,
7,Object Detection,What is on the desk?,laptop,http://images.cocodataset.org/val2017/000000231339.jpg,6,105,0.99728440016836,-2.4415197372436523,B,6,241.0,0.0019890993674356186,16.0,0.0019666509074832473,118.0,0.0019969121220340122,65.0,0.0019832870867236138,0.9791973411965589,0.9681390622295665,0.9734074319787254,0.958904369228016,4.0,0.0019324556947685847,18.0,0.0019709836870749325,,,,,1.0,0.9625632797054146,,,,,,,,,,,,,,,,,
8,Object Detection,What electronic device is visible?,laptop,http://images.cocodataset.org/val2017/000000459467.jpg,1,292,0.9901709997993882,-2.3961148262023926,Camera,1,16.0,0.0028998626128802513,,,,,,,0.8194483718728035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Object Counting,How many umbrellas are visible?,1,http://images.cocodataset.org/val2017/000000285894.jpg,4,152,0.9988375991927287,-0.10061411559581757,,4,241.0,0.0019472870605885104,64.0,0.0019443172218388313,38.0,0.0019453461207928496,16.0,0.0019213676189869563,0.9728720003788537,0.9661776493388474,0.9626251258601156,0.9772170014624824,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Object Identification,What appliance is in the kitchen?,refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,4,156,0.9987167903088087,-1.7665035724639893,Re,4,179.0,0.002013409013647494,15.0,0.001989304938414824,16.0,0.0020125690118713542,17.0,0.0019544842359899366,0.97719357142648,0.9609640474436811,0.9414280318460244,0.9936520348079905,,,,,,,,,,,,,,,,,,,,,,,,,,,
