image_id,question_type,question,ground_truth,full_answer,full_correct,high_answer,high_correct,low_answer,low_correct,random_answer,random_correct
0,yes/no,Is this breakfast?,no,no,True,no,True,no,True,no,True
1,yes/no,Is this terminal safe at night?,yes,yes,True,yes,True,yes,True,yes,True
2,yes/no,Is this person prone on his back or on his knees?,no,knees,False,knees,False,knees,False,knees,False
3,yes/no,Are the drying the animal with a blow dryer?,yes,yes,True,yes,True,yes,True,yes,True
4,yes/no,Is the man smiling?,no,no,True,no,True,no,True,no,True
5,yes/no,Is the red stop sign on a wooden pole?,no,yes,False,no,True,no,True,no,True
6,yes/no,Are all zebras facing the same way?,no,no,True,no,True,no,True,no,True
7,yes/no,Is this a cow farm?,yes,no,False,no,False,yes,True,no,False
8,counting,How many men are playing baseball?,5,4,False,2,False,4,False,4,False
9,other,What is written on the street?,nothing,avenue,False,stop,False,w 14th st,False,unanswerable,False
10,counting,How many trees are in this photo?,3,3,True,2,False,2,False,2,False
11,other,What is in the picture?,clock,clock,True,clock,True,clock,True,clock,True
12,yes/no,Is the room almost full?,no,no,True,no,True,no,True,no,True
13,classification,What kind of suit is he wearing?,swim,swim,True,swim,True,swim,True,swim,True
14,location,Where do you think all these are located?,restaurant,restaurant,True,restaurant,True,restaurant,True,restaurant,True
15,counting,How many phones do you see?,1,1,True,1,True,1,True,1,True
16,other,What power tool is present?,drill,drill,True,drill,True,drill,True,drill,True
17,counting,How many glasses are there?,2,2,True,2,True,2,True,1,False
18,yes/no,Is this an inside stadium?,yes,no,False,no,False,no,False,no,False
19,color recognition,What color is the sky?,gray,gray,True,gray,True,gray,True,gray,True
20,yes/no,Are these boys at home?,no,yes,False,yes,False,yes,False,yes,False
21,other,What time is it?,1:50,1:15,False,2:30,False,1:55,False,1:50,True
22,color recognition,What color is the plate?,white,white,True,white,True,white,True,white,True
23,yes/no,Has someone started eating?,no,no,True,no,True,no,True,no,True
24,other,What is the black thing he is wearing?,apron,apron,True,apron,True,apron,True,apron,True
25,other,What is the name of the yellow fruit pictured?,banana,banana,True,banana,True,banana,True,banana,True
26,other,What topping is on the hot dog?,onions,onions,True,mustard,False,bacon,False,mustard,False
27,comparison,Which vehicle is the smallest?,car,car,True,car,True,car,True,car,True
28,counting,How many colors are in the tile?,1,2,False,2,False,2,False,2,False
29,reasoning,Why are there so many clothes on the bed?,laundry,laundry,True,sleeping,False,laundry,True,sleeping,False
30,color recognition,What color are the chairs?,blue,blue,True,blue,True,blue,True,blue,True
31,other,What is being held green?,light,stop light,True,sign,False,light,True,sign,False
32,yes/no,Is this the latest make and model?,no,no,True,no,True,no,True,no,True
33,yes/no,Are there 3 elephants?,yes,yes,True,yes,True,yes,True,no,False
34,color recognition,What color are the girls earrings?,silver,silver,True,black,False,silver,True,silver,True
35,other,What symbol sits atop the tower?,cross,cross,True,cross,True,cross,True,cross,True
36,yes/no,The tablecloths are white?,yes,yes,True,yes,True,yes,True,yes,True
37,yes/no,Is there snow?,yes,yes,True,yes,True,yes,True,yes,True
38,counting,How many girls are visible?,2,1,False,1,False,1,False,1,False
39,other,What's missing from this hot dog?,mustard,ketchup,False,mustard,True,mustard,True,mustard,True
40,color recognition,What color horse is closer to the camera?,black,black,True,black,True,white,False,white,False
41,other,How has the cheese been prepared?,melted,melted,True,grilled,False,melted,True,melted,True
42,color recognition,What color is the players shirt?,orange,orange,True,red,False,orange,True,orange,True
43,classification,What kind of passenger does the bus carry?,children,school,False,students,False,students,False,students,False
44,other,What does the wall say on the far left?,nothing,nothing,True,nothing,True,nothing,True,nothing,True
45,other,What is the green stuff?,broccoli,broccoli,True,broccoli,True,broccoli,True,broccoli,True
46,location,Where is the light coming from?,window,window,True,window,True,window,True,window,True
47,yes/no,Is there broccoli on a slice of pizza?,yes,no,False,no,False,no,False,no,False
48,yes/no,Are there three sheep?,yes,yes,True,yes,True,yes,True,yes,True
49,counting,How many TVs are on?,1,1,True,1,True,1,True,1,True
50,yes/no,Are there clouds visible?,no,no,True,no,True,no,True,no,True
51,counting,How many ski boards are in the picture?,5,5,True,5,True,5,True,5,True
52,other,What is in the glass in the lower right?,wine,wine,True,liquid,False,wine,True,wine,True
53,yes/no,Is the building a high rise?,no,no,True,no,True,no,True,no,True
54,other,What is the person wearing?,skis,jacket,False,skis,True,jacket,False,jacket,False
55,other,How big is the TV?,very big,unanswerable,False,55,False,unanswerable,False,unanswerable,False
56,yes/no,Is this man swimming?,no,no,True,no,True,no,True,no,True
57,object identification,What is this cake made with?,chocolate,chocolate,True,chocolate,True,chocolate,True,chocolate,True
58,other,What silverware is on the table?,knife and fork,fork,False,knife,False,fork,False,knife,False
59,counting,How many windows are there?,3,2,False,2,False,2,False,3,True
60,other,What is the approximate time period of this photo?,1950s,1940s,False,1950s,True,1950s,True,1950s,True
61,other,What is the man cutting?,cake,cake,True,cake,True,cake,True,cake,True
62,yes/no,Is the toilet lid down?,yes,yes,True,yes,True,yes,True,no,False
63,other,What mountain was this taken at?,lookout,aspen,False,aspen,False,mt. fuji,False,aspen,False
64,yes/no,Is this in a desert?,yes,no,False,no,False,no,False,no,False
65,yes/no,Is she wearing a bathing suit?,yes,yes,True,yes,True,yes,True,yes,True
66,yes/no,Can you see the man's shadow?,yes,yes,True,yes,True,yes,True,yes,True
