image_id,question_type,question,ground_truth,full_answer,full_correct,high_answer,high_correct,low_answer,low_correct,random_answer,random_correct
0,object identification,What is this photo taken looking through?,net,net,True,fence,False,fence,False,fence,False
1,object identification,What is this man riding on?,skateboard,skateboard,True,skateboard,True,skateboard,True,skateboard,True
2,object identification,What is this person doing?,skiing,skiing,True,skiing,True,skiing,True,skiing,True
3,object identification,What is this?,bear,bear,True,bear,True,bear,True,bear,True
4,object identification,What is this device?,refrigerator,refrigerator,True,refrigerator,True,camera,False,camera,False
5,object identification,What is this animal?,elephant,elephant,True,elephant,True,elephant,True,elephant,True
6,object identification,What is this person wearing on head?,hat,helmet,False,helmet,False,helmet,False,helmet,False
7,object identification,What is this man laying on?,surfboard,surfboard,True,surfboard,True,surfboard,True,surfboard,True
8,object identification,What is this person holding?,hot dog,hot dog,True,hot dog,True,hot dog,True,hot dog,True
9,object identification,What is this person standing on?,sand,sand,True,sand,True,sand,True,sand,True
10,object identification,What is this cake made with?,chocolate,chocolate,True,chocolate,True,chocolate,True,chocolate,True
11,object identification,What is this person doing?,snowboarding,snowboarding,True,snowboarding,True,snowboarding,True,snowboarding,True
12,other,What position is this man playing?,pitcher,pitcher,True,pitcher,True,pitcher,True,pitcher,True
13,other,What is the person doing?,skiing,skiing,True,skiing,True,skiing,True,skiing,True
14,other,What is in the person's hand?,frisbee,frisbee,True,frisbee,True,frisbee,True,frisbee,True
15,other,Is the dog looking at a tennis ball or frisbee?,frisbee,frisbee,True,frisbee,True,frisbee,True,frisbee,True
16,other,What is the white streak?,contrail,jet,False,snow,False,jet,False,jet stream,False
17,other,What is the child doing?,brushing teeth,brushing teeth,True,brushing teeth,True,brushing teeth,True,brushing teeth,True
18,other,What is the business man doing in the picture?,frowning,making face,False,staring,False,the business man is walking and looking to his left.,False,making a face,False
19,other,What is the man riding on?,motorcycle,dirt bike,False,bike,False,motorcycle,True,motorcycle,True
20,other,What is on the pillow?,gray,pillowcase,False,nothing,False,pillowcase,False,pillowcase,False
21,other,What is sitting on the bench?,purse,purse,True,pillow,False,purse,True,bag,False
22,other,What is the man doing?,skiing,skiing,True,skiing,True,skiing,True,skiing,True
23,other,What is the person wearing?,skis,jacket,False,skis,True,jacket,False,pants,False
24,other,What is she holding?,poles,ski poles,True,ski poles,True,ski poles,True,ski poles,True
25,other,What is the dog riding on?,surfboard,surfboard,True,surfboard,True,surfboard,True,surfboard,True
26,other,What is in the water?,dog,surfboard,False,surfboard,False,dog,True,surfboard,False
27,other,"What does the green light, on the TV, indicate?",on,power,False,power,False,power,False,power,False
28,other,What room of the house is this?,office,office,True,office,True,office,True,office,True
29,other,What is the size of the TV?,large,unanswerable,False,unanswerable,False,unanswerable,False,unanswerable,False
30,other,How big is the TV?,very big,unanswerable,False,55,False,unanswerable,False,unanswerable,False
31,other,What companion object to the TV can be seen in the bottom right of the picture?,laptop,laptop,True,laptop,True,laptop,True,laptop,True
32,other,What is the small computer on the left called?,laptop,laptop,True,laptop,True,laptop,True,laptop,True
33,other,What is above the TV?,vent,ceiling,False,ceiling,False,ceiling,False,ceiling,False
34,other,What is on the display?,document,unanswerable,False,unanswerable,False,unanswerable,False,unanswerable,False
35,other,Is it a monitor or a screen projection?,screen projection,screen projection,True,screen projection,True,screen projection,True,screen projection,True
36,other,What is on the TV screen?,computer,unanswerable,False,unanswerable,False,unanswerable,False,unanswerable,False
37,other,What is the title of the presentation in the picture?,outlook web app,cultural competency,False,cultural competency,False,cultural competency,False,unanswerable,False
38,other,What is the man playing?,wii,wii,True,wii,True,wii,True,wii,True
39,other,What does the man have on his face?,glasses,glasses,True,nothing,False,glasses,True,glasses,True
40,other,What is in front of the giraffes?,tree,log,False,trees,True,log,False,trees,True
