image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_0_entropy,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_10_n_points,cluster_10_avg_strength,cluster_11_n_points,cluster_11_avg_strength,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_entropy,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_12_entropy,cluster_13_n_points,cluster_13_avg_strength,cluster_13_entropy
0,object identification,What is this photo taken looking through?,net,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,1,370,0.9948797304193951,-0.741280734539032,Net,1,16.0,0.00284848402012884,0.886859507142915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,object identification,What is this man riding on?,skateboard,http://images.cocodataset.org/train2014/COCO_train2014_000000393227.jpg,12,176,0.9772842804234592,-0.022987300530076027,Sk,12,16.0,0.0032547878635530965,0.8950145145731531,41.0,0.00314860051370257,24.0,0.003289458823158596,17.0,0.0032283670093631043,15.0,0.0031176837976509015,16.0,0.003247817300119831,41.0,0.003196212305829763,34.0,0.0032093218424444746,29.0,0.003224205423913786,45.0,0.003113340696237307,42.0,0.003195929889161043,25.0,0.003205134141654877,0.9647274915584777,0.8687723652753049,0.9603948809345497,0.9446232142545791,0.9320201587042914,0.9644233312982443,0.9925301086302215,0.9339251527979022,0.9772939452796497,0.9909081175708434,0.9506546819022291,,,,,,
2,object identification,What is this person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,4,244,0.9983825534830075,-0.8525318503379822,The,4,16.0,0.0021838325950171147,0.9772170014624825,58.0,0.002238260100509055,16.0,0.0020760798524158447,16.0,0.00219610471308129,,,,,,,,,,,,,,,,,0.962112198242415,0.9954133073923868,0.9528195311147832,,,,,,,,,,,,,,
3,object identification,What is this?,bear,http://images.cocodataset.org/train2014/COCO_train2014_000000137045.jpg,4,274,0.9608654943292657,-1.0891048908233643,Bear,4,33.0,0.005211229105892205,0.9372425311338689,15.0,0.004963843432911561,44.0,0.005735960405105772,16.0,0.0069402511301095695,,,,,,,,,,,,,,,,,0.9543063494363562,0.9571531019528033,0.886859507142915,,,,,,,,,,,,,,
4,object identification,What is this device?,refrigerator,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg,3,239,0.9967655496268867,-0.24692760407924652,Re,3,142.0,0.00250171416861233,0.9733513426140066,30.0,0.0024557376145680552,28.0,0.002336350579472972,,,,,,,,,,,,,,,,,,,0.9824567505740444,0.9930633401611941,,,,,,,,,,,,,,,
5,object identification,What is this animal?,elephant,http://images.cocodataset.org/train2014/COCO_train2014_000000262204.jpg,4,205,0.9984550738728192,-0.019028861075639725,Ele,4,64.0,0.002193776212435839,0.9610066726638047,90.0,0.002207729083185217,48.0,0.0022121800653870844,15.0,0.002034106928649638,,,,,,,,,,,,,,,,,0.9789262366457074,0.9171875130683798,0.9949490477321437,,,,,,,,,,,,,,
6,object identification,What is this person wearing on head?,hat,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg,6,204,0.9983656317264031,-0.14402242004871368,Hat,6,199.0,0.0020464397140372423,0.9766992736372966,17.0,0.0020099089092958686,20.0,0.0020090613089423816,19.0,0.0020139732428023044,25.0,0.002005760447117278,19.0,0.0020152774484553417,,,,,,,,,,,,,0.9605278493513334,1.0,0.9968868771609918,0.9556457132279714,0.9892422967543257,,,,,,,,,,,,
7,object identification,What is this man laying on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000471373.jpg,5,344,0.9987416381062525,-0.03403230756521225,Sur,5,24.0,0.0019513073287467876,0.9306282244165778,16.0,0.0019532224000542446,15.0,0.0019489659217866557,19.0,0.0019373653149068295,8.0,0.001933458493460673,,,,,,,,,,,,,,,0.875,0.8983958159908183,0.9769780367557707,1.0,,,,,,,,,,,,,
8,object identification,What is this person holding?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000393428.jpg,6,236,0.9981870886170904,-0.18262039124965668,Hot,6,35.0,0.002178015083290508,0.9628422714174913,15.0,0.002031563343313151,76.0,0.002043540396082315,17.0,0.002027033219209601,18.0,0.0021484245219147414,34.0,0.0021200845543458942,,,,,,,,,,,,,0.9949490477321437,0.9907145300114533,0.9936520348079905,0.9342064019134054,0.9353911904897084,,,,,,,,,,,,
9,object identification,What is this person standing on?,sand,http://images.cocodataset.org/train2014/COCO_train2014_000000474858.jpg,3,284,0.9932343660803525,-0.21085621416568756,Sand,3,23.0,0.002507456422671936,0.9370919134731258,24.0,0.002365921750335427,18.0,0.0025765092806825647,,,,,,,,,,,,,,,,,,,0.9690222556651344,0.8527924884900406,,,,,,,,,,,,,,,
10,object identification,What is this cake made with?,chocolate,http://images.cocodataset.org/train2014/COCO_train2014_000000393445.jpg,13,245,0.9899790887027651,-0.12224200367927551,Ch,13,20.0,0.0021311401350779823,0.9911594714322186,22.0,0.002126636234524404,39.0,0.0021319029570922273,21.0,0.0021288489195633296,31.0,0.002124172102162678,15.0,0.0021258753752038365,20.0,0.0021250232403466234,15.0,0.0021212531777020077,41.0,0.0021248392645864954,25.0,0.0021292033130578267,29.0,0.0021276821454687916,26.0,0.0021258583193545086,0.9849226290193991,0.9876583949140946,0.9304144385624715,0.9349558617086284,0.9654013672997089,0.9927376486136672,0.944623214254579,0.9889948269999723,0.9934804071359582,0.98697797031737,0.982565040412523,18.0,0.0021285626531323816,1.0,,,
11,object identification,What is this person doing?,snowboarding,http://images.cocodataset.org/train2014/COCO_train2014_000000524551.jpg,2,280,0.9938202047848234,-0.8340779542922974,The,2,17.0,0.0029748194303615334,0.8661108318808242,22.0,0.0024964029541528496,,,,,,,,,,,,,,,,,,,,,0.9614103165917853,,,,,,,,,,,,,,,,
12,other,What position is this man playing?,pitcher,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,3,318,0.9992738339828351,-0.11920883506536484,P,3,16.0,0.0020703677811584947,0.9886994082884974,16.0,0.002015469751951991,108.0,0.001962976059297221,,,,,,,,,,,,,,,,,,,0.8620485698650454,0.9786100198666824,,,,,,,,,,,,,,,
13,other,What is the person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000262146.jpg,6,224,0.9664374288118331,-0.7267114520072937,The,6,16.0,0.0041119939667532005,0.949701216438411,165.0,0.004253996442556593,21.0,0.004314440068260627,15.0,0.004128514032583277,24.0,0.004395235749150444,29.0,0.004071768681874911,,,,,,,,,,,,,0.9749373810007326,0.9211854965885542,0.9189900464321514,0.9608948553419607,0.9453273454467302,,,,,,,,,,,,
14,other,What is in the person's hand?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,9,252,0.9991384977218994,-1.6356706619262695,A,9,19.0,0.0018849659301149297,0.9366107178069574,18.0,0.0018840786515639282,63.0,0.0018650799661282355,18.0,0.0018853548090621921,18.0,0.001844273877753129,16.0,0.0018595612662679736,26.0,0.0018679573188386043,11.0,0.0018864824509659981,17.0,0.0019093352411514285,,,,,,,0.9081700569267039,0.9656193879495089,0.8821022532543101,0.9941181381188445,0.9528195311147832,0.964563236385718,0.9940302114769565,0.8702290979524686,,,,,,,,,
15,other,Is the dog looking at a tennis ball or frisbee?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,6,222,0.9987376204398872,-0.9495864510536194,F,6,20.0,0.0026911921370863724,0.8927376486136671,16.0,0.002266830173906704,16.0,0.002241090032429492,24.0,0.0021067640576552696,18.0,0.0023883392301461788,25.0,0.0024493613376072015,,,,,,,,,,,,,0.9886085007312413,0.9618974703476992,0.9677023894542703,0.977342973473178,0.9293334771441444,,,,,,,,,,,,
16,other,What is the white streak?,contrail,http://images.cocodataset.org/train2014/COCO_train2014_000000393221.jpg,4,202,0.9684301999121435,-1.6712605953216553,Jet,4,60.0,0.004425185530028075,0.9595959744046535,47.0,0.00596791673927554,22.0,0.004241230550605173,16.0,0.0038028816517041053,,,,,,,,,,,,,,,,,0.9319214404688005,0.9536483097207457,0.9724056781360314,,,,,,,,,,,,,,
17,other,What is the child doing?,brushing teeth,http://images.cocodataset.org/train2014/COCO_train2014_000000393223.jpg,9,209,0.9708952909266985,-0.590377688407898,The,9,15.0,0.004580102717446018,0.9182958340544896,24.0,0.004012954642892866,15.0,0.003585980765557394,15.0,0.003290976595865294,20.0,0.003965352675872702,22.0,0.003450920937063449,27.0,0.003781432072619718,27.0,0.0038065423884510174,18.0,0.004093316791717735,,,,,,,0.9478440781021911,0.9446232142545791,0.9718495448242642,0.8862106770924657,0.995226686335856,0.9683925140412226,0.9701541708942544,0.9758159039662214,,,,,,,,,
18,other,What is the business man doing in the picture?,frowning,http://images.cocodataset.org/train2014/COCO_train2014_000000393224.jpg,1,313,0.9632031156775666,-0.8655480146408081,The,1,16.0,0.005157935630376003,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,other,What is the man riding on?,motorcycle,http://images.cocodataset.org/train2014/COCO_train2014_000000131084.jpg,6,299,0.9983705813233955,-0.5844169855117798,D,6,18.0,0.0020342465348436155,0.8929352898779307,49.0,0.001966512809137386,17.0,0.001978544948523518,15.0,0.0019672235503891394,16.0,0.0019825278773914073,15.0,0.00196174220143823,,,,,,,,,,,,,0.9823822245392112,0.951983906543883,0.9609640474436811,0.9414280318460244,0.982798115178801,,,,,,,,,,,,
20,other,What is on the pillow?,gray,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,14,144,0.9928449391038612,-1.9065357446670532,P,14,16.0,0.002148896030302829,0.9755307720176265,24.0,0.00216542245592429,18.0,0.0021592587322778216,16.0,0.0021247122907587243,44.0,0.002146974382481483,15.0,0.0021393397831847116,55.0,0.002142184499419638,84.0,0.002171113448836475,31.0,0.0021371933237810175,16.0,0.0021604189028533683,15.0,0.0021401654412524485,16.0,0.002146332159345435,0.9515535841814056,0.9728825026363701,0.9886085007312413,0.9749023327956898,1.0,0.9657358373951005,0.9759385573235455,0.9714634447796382,0.886859507142915,0.9877812438119246,0.9755307720176266,25.0,0.0021574792905829266,0.9249688113716502,16.0,0.0021574434584852578,0.949701216438411
21,other,What is sitting on the bench?,purse,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,1,255,0.994387066104793,-0.8452702760696411,Pur,1,95.0,0.0032857061565810856,0.9735578359047798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,other,What is the man doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,6,235,0.986865200377266,-0.6940596699714661,The,6,26.0,0.0032267844128685,0.9521658521149182,15.0,0.002997058914501908,114.0,0.003256327512428217,32.0,0.0029602784004153816,38.0,0.003627277771575133,25.0,0.0030632757471795386,,,,,,,,,,,,,0.9147366491799204,0.9590358512023183,0.9503031256961773,0.9417970286595597,0.9949956408022635,,,,,,,,,,,,
23,other,What is the person wearing?,skis,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,6,253,0.9922569760233517,-1.377563714981079,Jack,6,39.0,0.002388327972514815,0.9957460478621499,23.0,0.002350180674801596,15.0,0.00237449820491357,15.0,0.0023730748038761854,22.0,0.0023898349641195862,22.0,0.0024482897009379966,,,,,,,,,,,,,0.9910581831938823,1.0,1.0,0.9970151057384782,0.8383685150260665,,,,,,,,,,,,
