image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_0_entropy,cluster_1_n_points,cluster_1_avg_strength,cluster_1_entropy,cluster_2_n_points,cluster_2_avg_strength,cluster_2_entropy,cluster_3_n_points,cluster_3_avg_strength,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy
0,object identification,What is this photo taken looking through?,net,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,0,69,0.36728341164983186,-1.0078125,net,0,,,,,,,,,,,,,,,,,,,,,,,,
1,object identification,What is this man riding on?,skateboard,http://images.cocodataset.org/train2014/COCO_train2014_000000393227.jpg,0,75,0.4621555405565536,-0.10693359375,skate,0,,,,,,,,,,,,,,,,,,,,,,,,
2,object identification,What is this person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,0,51,0.433955571088704,-0.1982421875,ski,0,,,,,,,,,,,,,,,,,,,,,,,,
3,object identification,What is this?,bear,http://images.cocodataset.org/train2014/COCO_train2014_000000137045.jpg,0,39,0.6063092346930766,-0.287109375,bear,0,,,,,,,,,,,,,,,,,,,,,,,,
4,object identification,What is this device?,refrigerator,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg,0,59,0.41156685941624893,-0.1611328125,refriger,0,,,,,,,,,,,,,,,,,,,,,,,,
5,object identification,What is this animal?,elephant,http://images.cocodataset.org/train2014/COCO_train2014_000000262204.jpg,0,56,0.40960478990721905,-0.111328125,elephant,0,,,,,,,,,,,,,,,,,,,,,,,,
6,object identification,What is this person wearing on head?,hat,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg,0,95,0.48568591740597356,-0.193359375,helmet,0,,,,,,,,,,,,,,,,,,,,,,,,
7,object identification,What is this man laying on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000471373.jpg,0,56,0.4425608113207725,-0.142578125,surf,0,,,,,,,,,,,,,,,,,,,,,,,,
8,object identification,What is this person holding?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000393428.jpg,0,42,0.3583087513306901,-0.1982421875,hot,0,,,,,,,,,,,,,,,,,,,,,,,,
9,object identification,What is this person standing on?,sand,http://images.cocodataset.org/train2014/COCO_train2014_000000474858.jpg,0,40,0.37424589409292963,-0.32421875,sand,0,,,,,,,,,,,,,,,,,,,,,,,,
10,object identification,What is this cake made with?,chocolate,http://images.cocodataset.org/train2014/COCO_train2014_000000393445.jpg,0,89,0.40929592009675764,-0.392578125,chocolate,0,,,,,,,,,,,,,,,,,,,,,,,,
11,object identification,What is this person doing?,snowboarding,http://images.cocodataset.org/train2014/COCO_train2014_000000524551.jpg,0,54,0.5548816621548279,-0.27734375,snow,0,,,,,,,,,,,,,,,,,,,,,,,,
12,other,What position is this man playing?,pitcher,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,0,31,0.3087050970583966,-0.1650390625,pit,0,,,,,,,,,,,,,,,,,,,,,,,,
13,other,What is the person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000262146.jpg,1,75,0.35697269104801604,-0.1337890625,ski,1,15.0,0.21791288661372432,0.7835807040488099,,,,,,,,,,,,,,,,,,,,,
14,other,What is in the person's hand?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,0,33,0.8612769812077461,-0.1201171875,fris,0,,,,,,,,,,,,,,,,,,,,,,,,
15,other,Is the dog looking at a tennis ball or frisbee?,frisbee,http://images.cocodataset.org/train2014/COCO_train2014_000000524291.jpg,0,64,0.5021102795521486,-0.048095703125,fris,0,,,,,,,,,,,,,,,,,,,,,,,,
16,other,What is the white streak?,contrail,http://images.cocodataset.org/train2014/COCO_train2014_000000393221.jpg,0,31,0.3498252784800606,-1.421875,jet,0,,,,,,,,,,,,,,,,,,,,,,,,
17,other,What is the child doing?,brushing teeth,http://images.cocodataset.org/train2014/COCO_train2014_000000393223.jpg,0,44,0.35860611297764594,-0.1748046875,br,0,,,,,,,,,,,,,,,,,,,,,,,,
18,other,What is the business man doing in the picture?,frowning,http://images.cocodataset.org/train2014/COCO_train2014_000000393224.jpg,0,54,0.38408746754520867,-1.5,making,0,,,,,,,,,,,,,,,,,,,,,,,,
19,other,What is the man riding on?,motorcycle,http://images.cocodataset.org/train2014/COCO_train2014_000000131084.jpg,0,37,0.3244881878991363,-1.1640625,dirt,0,,,,,,,,,,,,,,,,,,,,,,,,
20,other,What is on the pillow?,gray,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,2,119,0.996062551931448,-1.9765625,pillow,2,22.0,0.00553594767466123,0.9063593311749663,16.0,0.005422827479443617,0.9463946303571862,,,,,,,,,,,,,,,,,,
21,other,What is sitting on the bench?,purse,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,0,53,0.3276264585027673,-0.6640625,pur,0,,,,,,,,,,,,,,,,,,,,,,,,
22,other,What is the man doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,0,50,0.5742993458617756,-0.18359375,ski,0,,,,,,,,,,,,,,,,,,,,,,,,
23,other,What is the person wearing?,skis,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,1,75,0.77750350079032,-1.015625,jacket,1,19.0,0.05497033876648802,0.9649618403823442,,,,,,,,,,,,,,,,,,,,,
24,other,What is she holding?,poles,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,0,49,0.3197688360391184,-0.5,ski,0,,,,,,,,,,,,,,,,,,,,,,,,
