image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_10_entropy,cluster_11_n_points,cluster_11_avg_strength,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_13_n_points,cluster_13_avg_strength,cluster_14_n_points,cluster_14_avg_strength,cluster_12_entropy,cluster_13_entropy,cluster_14_entropy
0,object identification,What is this photo taken looking through?,net,http://images.cocodataset.org/train2014/COCO_train2014_000000458752.jpg,7,175,0.9953693839464793,-1.177734375,Net,7,89.0,0.002191001194703016,42.0,0.002134554400584345,27.0,0.002187076238065921,29.0,0.0021618789003305873,41.0,0.0021591191205334163,17.0,0.002168265255699211,15.0,0.002129535000603419,0.9385532162916382,0.9267142997036244,0.9303268625291959,0.94532734544673,0.9558339147320556,0.926262155095312,0.9018972358711528,,,,,,,,,,,,,,,,,,,,,,,,
1,object identification,What is this man riding on?,skateboard,http://images.cocodataset.org/train2014/COCO_train2014_000000393227.jpg,10,188,0.9701288981720592,-0.05364990234375,Sk,10,26.0,0.003722993207165388,48.0,0.0034061992126963553,24.0,0.0034945624250927298,24.0,0.003449425918602435,16.0,0.003659655369497503,205.0,0.003426964800512009,18.0,0.0035291872649528466,0.9986351928244434,0.969613256645819,0.9553810531234105,0.9745411476764104,0.954434002924965,0.9844008166662254,0.9435794406736079,12.0,0.003581994027448026,15.0,0.0033101967979631275,12.0,0.0031823799003270425,0.8112781244591328,0.9877812438119247,0.9206198357143051,,,,,,,,,,,,,,,
2,object identification,What is this person doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,3,260,0.9592898953360816,-0.71923828125,The,3,38.0,0.005979076695688321,21.0,0.004191479136630519,6.0,0.003130027789966359,,,,,,,,,0.9765110569681832,0.9785395778702867,0.9182958340544896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,object identification,What is this?,bear,http://images.cocodataset.org/train2014/COCO_train2014_000000137045.jpg,3,282,0.9232972530020597,-1.1015625,Bear,3,23.0,0.005504748475283005,24.0,0.010239741225797948,49.0,0.009490188704427869,,,,,,,,,0.974497831240431,0.966465823449233,0.9516712087894449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,object identification,What is this device?,refrigerator,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg,6,179,0.9988905024177704,-0.302001953125,Re,6,15.0,0.0018600395609308512,15.0,0.0018600395609308512,23.0,0.0018721544320594748,15.0,0.0018626388336543433,42.0,0.0018724046726011777,129.0,0.0018688166399878582,,,0.7835807040488099,0.7835807040488099,0.8851529531815774,0.9877812438119247,0.8458827827874528,0.8715516718540417,,,,,,,,,,,,,,,,,,,,,,,,,
5,object identification,What is this animal?,elephant,http://images.cocodataset.org/train2014/COCO_train2014_000000262204.jpg,5,120,0.9867824681353452,-0.020721435546875,Ele,5,139.0,0.0025477282218593204,176.0,0.0025236921769157985,40.0,0.0025310372312813776,25.0,0.0025579970059579436,21.0,0.002531555535142358,,,,,0.964073763957806,0.9281673214710631,0.9754441691958968,0.9697352853986261,0.9420864622689729,,,,,,,,,,,,,,,,,,,,,,,,,,
6,object identification,What is this person wearing on head?,hat,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg,4,229,0.9964507991116593,-0.27978515625,Hat,4,73.0,0.0020824618442165208,15.0,0.002035376241226857,101.0,0.002066162140047459,6.0,0.0020082059815397088,,,,,,,0.9697190208335855,0.9949490477321437,0.9562543450334109,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,object identification,What is this man laying on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000471373.jpg,6,244,0.997958812758579,-0.05572509765625,Sur,6,27.0,0.0021729653984490535,16.0,0.0021696011626798815,57.0,0.002164141173480733,42.0,0.0021318066919896704,20.0,0.002110931096921758,17.0,0.002178623283869919,,,0.9168740213914223,0.8950145145731531,0.952376962004857,0.9751373247579936,0.9372305632161296,0.6722948170756379,,,,,,,,,,,,,,,,,,,,,,,,,
8,object identification,What is this person holding?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000393428.jpg,10,173,0.9872736187529071,-0.20458984375,Hot,10,17.0,0.0026103884413844858,292.0,0.0026677564137794936,42.0,0.00266004401806401,16.0,0.0026969311702054774,17.0,0.0026195689119709316,35.0,0.0025932302378215283,37.0,0.002621674913133806,0.9770358764490155,0.9408659451042726,0.9449742286548782,1.0,0.6722948170756379,0.9198380805033344,0.9871132593856683,34.0,0.002618225428470474,17.0,0.0026175536867202483,16.0,0.002685511560451608,0.9817720041379431,0.9770358764490155,1.0,,,,,,,,,,,,,,,
9,object identification,What is this person standing on?,sand,http://images.cocodataset.org/train2014/COCO_train2014_000000474858.jpg,10,88,0.9939893287472947,-0.321533203125,Sand,10,23.0,0.0023988244484295677,15.0,0.0023368813485566135,127.0,0.002813004581077085,11.0,0.002666060301880903,17.0,0.0026354810019022373,11.0,0.0025339166602464797,40.0,0.0025760592621847022,0.9435232932310379,0.9473080736174853,0.9720820425475409,0.9940302114769565,0.932718552659954,0.9056185178648963,0.9459856468538564,12.0,0.0024742858030938407,7.0,0.0024840155168691686,44.0,0.0029286646236761026,0.9358932809493993,0.863120568566631,0.9888078552842768,,,,,,,,,,,,,,,
