image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_n_points,cluster_6_avg_strength,cluster_6_entropy,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_7_entropy,cluster_8_entropy,cluster_9_n_points,cluster_9_avg_strength,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_11_n_points,cluster_11_avg_strength,cluster_10_entropy,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_13_n_points,cluster_13_avg_strength,cluster_12_entropy,cluster_13_entropy
0,Object Counting,How many cats are in the image?,2,http://images.cocodataset.org/val2017/000000039769.jpg,4,126,0.9984525216686791,-0.16347815096378326,,4,23.0,0.001976764984448245,314.0,0.0019727529835321398,74.0,0.0019689848198504,15.0,0.001969630531868569,0.9370919134731258,0.9786610970601608,0.972809320381883,0.8830374409547587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Object Counting,How many people are visible?,4,http://images.cocodataset.org/val2017/000000334555.jpg,6,181,0.9983313790353499,-0.16581358015537262,,6,18.0,0.0019525982521584548,23.0,0.0019455034372066742,15.0,0.0019341301853241905,45.0,0.001943772348303292,0.9656336071428251,0.9165560589029497,0.944623214254579,0.9647912617455778,57.0,0.00194692460361902,212.0,0.0019559217069927437,0.972958529040922,0.9808039327757078,,,,,,,,,,,,,,,,,,,,,,,,
2,Object Counting,How many elephants are present?,3,http://images.cocodataset.org/val2017/000000025393.jpg,7,146,0.9992795023706162,-0.09236517548561096,,7,114.0,0.0018889585049507722,40.0,0.0018772718178762637,19.0,0.001884553756944761,31.0,0.0019090311044891088,0.9733564632950069,0.9971731337509392,0.9720048748581784,0.9563105902868927,21.0,0.001891392509498061,47.0,0.001893791195168464,0.9907017951253161,0.9790982143965753,28.0,0.0018637823025346482,0.973063882998454,,,,,,,,,,,,,,,,,,,,,
3,Object Identification,What animal is shown?,elephant,http://images.cocodataset.org/val2017/000000025393.jpg,9,178,0.9930994632998279,-0.9583725929260254,Human,9,46.0,0.002082203918942012,16.0,0.0020445899525998908,8.0,0.0020438286705278357,150.0,0.002067020136605238,0.9619168479359933,0.9681390622295665,0.954434002924965,0.975928382012634,26.0,0.002087824448917027,17.0,0.0020576337371475063,0.9563658998837449,0.9363348190250749,17.0,0.002075689294965509,0.9603948809345499,16.0,0.002048097697815928,8.0,0.0020376868102966496,0.9528195311147832,0.954434002924965,,,,,,,,,,,,,,,
4,Object Identification,What vehicle is in the image?,bus,http://images.cocodataset.org/val2017/000000109798.jpg,6,339,0.989252696598941,-1.2723608016967773,None,6,23.0,0.0025689343723468605,32.0,0.0024607597526070018,18.0,0.0026250742033338847,15.0,0.0024655453178848495,0.9394131210000187,0.9728816777695023,0.872009434056298,0.9161314485121343,32.0,0.0024616075097476956,29.0,0.0025368440239196973,0.9745983135651328,0.9984672906700829,,,,,,,,,,,,,,,,,,,,,,,,
6,Object Identification,What is the main furniture item?,bed,http://images.cocodataset.org/val2017/000000356347.jpg,10,192,0.994520228382608,-1.3739625215530396,Table,10,16.0,0.00239199326147729,17.0,0.0027614968826626227,32.0,0.002628819530382602,36.0,0.002514411948460271,0.9618974703476992,0.9975025463691152,0.9631198078956369,0.9752994838251958,30.0,0.0024103239192320796,34.0,0.0024238595013498557,0.9535848875889044,0.9792171830657912,16.0,0.0024004374816973422,0.9772170014624824,59.0,0.002470096216460923,15.0,0.0023899033067311132,0.9890105033058391,0.9609640474436811,16.0,0.002486251096983444,0.985056822321508,,,,,,,,,,,,
7,Object Detection,What is on the desk?,laptop,http://images.cocodataset.org/val2017/000000231339.jpg,6,108,0.9972610381297952,-2.4415197372436523,B,6,239.0,0.001991151805969578,16.0,0.0019677080587954827,117.0,0.0019980290236256194,69.0,0.001987953045465933,0.9799364621372744,0.9681390622295665,0.9728357929580806,0.9593281922824868,4.0,0.0019334299031286964,18.0,0.0019715226461390596,1.0,0.9625632797054146,,,,,,,,,,,,,,,,,,,,,,,,
8,Object Detection,What electronic device is visible?,laptop,http://images.cocodataset.org/val2017/000000459467.jpg,2,276,0.9903620577693626,-2.3961148262023926,Camera,2,28.0,0.0025998474115462,16.0,0.0028843049205210343,,,,,0.9161571110222422,0.8194483718728035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Object Counting,How many umbrellas are visible?,1,http://images.cocodataset.org/val2017/000000285894.jpg,5,200,0.9988892895268683,-0.10061411559581757,,5,203.0,0.0019438097043009935,55.0,0.0019251618364176924,15.0,0.0019213856286991664,42.0,0.001927939008386546,0.9741645479941707,0.9619884921438723,0.9877812438119247,0.9772639907189978,25.0,0.0019215741046081163,,,0.9745455500297384,,,,,,,,,,,,,,,,,,,,,,,,,
11,Object Identification,What appliance is in the kitchen?,refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,7,144,0.9988540045359633,-1.7665035724639893,Re,7,243.0,0.0018973852566737206,15.0,0.0018952248509736557,16.0,0.0018800214617680409,30.0,0.0018921656942345207,0.982439138013083,0.9189900464321514,0.9414280318460245,0.9519498492067907,15.0,0.0018658617744380715,23.0,0.0018919849735386392,0.9949490477321437,0.9863237070924824,17.0,0.0018815577680074299,0.9327185526599537,,,,,,,,,,,,,,,,,,,,,
