question_id,category,answer,predicted_answer,cleaned_answer,correct,mean_attention,entropy
458752000,object identification,net,"
What is this photo taken looking through?

A mesh net",net,1,0.0017032623291015625,6.375
458752001,other,pitcher,"
What position is this man playing?
The man is playing the position of a pitcher in baseball.",pitcher,1,0.0017061233520507812,6.37109375
458752002,color recognition,orange,"
What color is the players shirt?
The player is wearing an orange shirt.",orange,1,0.0017032623291015625,6.375
458752003,yes/no,yes,"
Is this man a professional baseball player?
Yes",yes,1,0.0017032623291015625,6.375
262146000,color recognition,white,"
What color is the snow?
The snow is white.",white,1,0.001708984375,6.3712158203125
262146001,other,skiing,"
What is the person doing?
The person is skiing down a snowy hill.",skiing,1,0.001708984375,6.3712158203125
262146002,color recognition,red,"
What color is the persons headwear?
The person is wearing a red hat.",red,1,0.0017004013061523438,6.375244140625
524291000,other,frisbee,"
What is in the person's hand?
What is the dog's color?",,0,0.0017004013061523438,6.375244140625
524291001,yes/no,yes,"
Is the dog waiting?
Yes, the dog is waiting for the frisbee to be thrown.",yes,1,0.001712799072265625,6.3671875
524291002,other,frisbee,"
Is the dog looking at a tennis ball or frisbee?
The dog is looking at a frisbee.",frisbee,1,0.00168609619140625,6.3822021484375
393221000,yes/no,yes,"
Is the sky blue?
Yes",yes,1,0.001712799072265625,6.3671875
393221001,yes/no,yes,"
Is there snow on the mountains?
Yes, there is snow on the mountains.",yes,1,0.0017061233520507812,6.37109375
393221002,other,contrail,"
What is the white streak?

The white streak is a contrail, which is the visible trail of condensed water",contrail,1,0.0017061233520507812,6.37109375
393223000,yes/no,yes,"
Is the window open?
No",no,0,0.001712799072265625,6.3671875
393223001,color recognition,white and purple,"
What color is the toothbrush?
The toothbrush is white.",the,0,0.0017004013061523438,6.3753662109375
393223002,other,brushing teeth,"
What is the child doing?
The child is brushing her teeth.",the,0,0.001708984375,6.3712158203125
393223003,yes/no,yes,"
Is she brushing?
Yes",yes,1,0.001712799072265625,6.3671875
393224000,yes/no,no,"
Is the man smiling?
No",no,1,0.001708984375,6.3712158203125
393224001,other,frowning,"
What is the business man doing in the picture?

The business man in the picture is making a funny face, with his mouth open and",the,0,0.001697540283203125,6.3753662109375
393224002,yes/no,no,"
Does his tie pair well with his suit?
Yes, the tie matches well with the suit, creating a cohesive and professional appearance.",yes,0,0.0017004013061523438,6.37548828125
393224003,yes/no,no,"
Does the man look happy?
No",no,1,0.001708984375,6.3712158203125
393224004,yes/no,no,"
Is this photo in color? No",no,1,0.001708984375,6.3712158203125
393224005,yes/no,no,"
Is the man wearing a plain tie?
No, the man is wearing a tie with a pattern.",no,1,0.0017004013061523438,6.37548828125
524297000,yes/no,yes,"
Judging from the dress, was this taken in a Latin American country?",,0,0.0016803741455078125,6.38671875
524297001,color recognition,black and white,"
What colors are shown in this picture?

The picture is in black and white.",black and white,1,0.0017032623291015625,6.375
524297002,yes/no,no,"
Are the men on the sidewalk?
No, the men are not on the sidewalk. They are standing on the street.",no,1,0.0017032623291015625,6.375
524297003,yes/no,no,"
Was this photo taken recently? No.",no,1,0.0017061233520507812,6.37109375
393227000,yes/no,yes,"
Does the guy have a tattoo?
Yes",yes,1,0.001697540283203125,6.3753662109375
393227001,object identification,skateboard,"
What is this man riding on?

This man is riding on a skateboard.",skateboard,1,0.0017032623291015625,6.375
393227002,counting,1,"
How many tattoos can be seen on this man's body?
There are two tattoos visible on the man's body.",there,0,0.0016832351684570312,6.3875732421875
393227003,color recognition,blue,"
What color is his hat?
The color of his hat is blue.",blue,1,0.001708984375,6.3714599609375
393227004,yes/no,no,"
Is the man's visor providing his face enough protection?",,0,0.0016889572143554688,6.3828125
131084000,color recognition,green,"
What color is the jacket?
The jacket is green.",green,1,0.0017061233520507812,6.37109375
131084001,yes/no,yes,"
Is the man riding on a dirt path?
Yes, the man is riding on a dirt path.",yes,1,0.0016946792602539062,6.3790283203125
131084002,other,motorcycle,"
What is the man riding on?

The man is riding on a dirt bike.",the,0,0.0017032623291015625,6.375
131074000,other,gray,"
What is on the pillow?

There is a green tag on the pillow.",there,0,0.0017061233520507812,6.37109375
131074001,counting,2,"
How many pieces of furniture which are used for sleeping are featured in this picture?

There are two pieces of furniture used for sleeping in this picture.",there,0,0.001674652099609375,6.390625
131074002,yes/no,yes,"
Are the walls done in a summery color?
No, the walls are done in a warm color.",no,0,0.001697540283203125,6.3753662109375
131074003,yes/no,no,"
Is the curtain patterned?
No",no,1,0.0017061233520507812,6.37109375
131074004,other,purse,"
What is sitting on the bench?

There is a red purse sitting on the bench.",purse,1,0.0017032623291015625,6.375
131074005,yes/no,yes,"
Are the windows the same size?
No",no,0,0.0017061233520507812,6.37109375
393230000,object identification,skiing,"
What is this person doing?
The person in the image is skiing on a snow-covered slope. They are standing",skiing,1,0.001708984375,6.3712158203125
393230001,counting,1,"
How many people are in this image?
There is one person in the image.",there,0,0.0017032623291015625,6.375
393230002,yes/no,no,"
Is there a shadow of a tree in the foreground?
No",no,1,0.0016918182373046875,6.379150390625
393230003,other,skiing,"
What is the man doing?
The man is skiing on a snow-covered slope.",skiing,1,0.001708984375,6.3712158203125
393230004,color recognition,gray,"
What color is the sky?
The sky is gray.",gray,1,0.001708984375,6.3712158203125
393230005,other,skis,"
What is the person wearing?
The person is wearing a blue jacket.",the,0,0.0017061233520507812,6.37109375
393230006,yes/no,no,"
Did someone forget his luggage in the snow? No, it is a person skiing in the snow.",no,1,0.0016946792602539062,6.3790283203125
393230007,color recognition,blue,"
What color is his coat?
The man is wearing a blue coat.",blue,1,0.001708984375,6.3712158203125
393230008,yes/no,yes,"
Is it daytime?
Yes",yes,1,0.001712799072265625,6.3671875
393230009,other,poles,"
What is she holding?
She is holding a ski pole.",she,0,0.001712799072265625,6.3671875
393230010,yes/no,no,"
Is the person wearing a hat?
No",no,1,0.0017032623291015625,6.375
131087000,other,surfboard,"
What is the dog riding on?

The dog is riding on a surfboard.",surfboard,1,0.0017032623291015625,6.375
131087001,yes/no,yes,"
Is the dog wearing a collar?
No",no,0,0.0017004013061523438,6.375244140625
131087002,yes/no,yes,"
Is it a clear day?
Yes",yes,1,0.001708984375,6.3712158203125
